lemma,revised_class,anchor_bucket,category_source,personhood_profile,notes
a,determinative,excluded_item,matrix_clean_seed,not_core_pro_form,Outside the core pro-form inventory in the personhood paper.
a_certain,determinative,excluded_item,matrix_clean_seed,not_core_pro_form,Outside the core pro-form inventory in the personhood paper.
a_few,determinative,excluded_item,matrix_clean_seed,not_core_pro_form,Outside the core pro-form inventory in the personhood paper.
a_great_many,determinative,excluded_item,matrix_clean_seed,not_core_pro_form,Outside the core pro-form inventory in the personhood paper.
a_little,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_general,
all,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
another,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
any,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
anybody,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,
anyone,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,
anything,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_general,
anywhere,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_locative,
both,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
certain,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
each,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
either,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
enough,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
every,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
everybody,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,
everyone,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,
everything,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_general,
everywhere,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_locative,
few,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
fewer,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
fewest,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
little,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_general,
less,determinative,clear_determinative_anchor,reynolds2024_more_less_never_adverbs,gender_neutral_or_contextual,Retained as determinative under the unified analysis of less.
least,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral_or_contextual,
many,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
many_a,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
more,determinative,clear_determinative_anchor,reynolds2024_more_less_never_adverbs,gender_neutral_or_contextual,Retained as determinative under the unified analysis of more.
most,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
much,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_general,
neither,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
last,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
next,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
no,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
none,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
nobody,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,
no_one,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,
nothing,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_general,
nowhere,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_locative,
one_det,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
two_det,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
three_det,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
once,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_temporal,
twice,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_temporal,
thrice,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_temporal,
several,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
some,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
somebody,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,
someone,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,
something,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_general,
somewhere,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_locative,
somewhat,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
such,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
sufficient,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
that,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,Generally gender-neutral with a non-personal default in fused-head use.
these,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,Generally gender-neutral with a non-personal default in fused-head use.
this,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,Generally gender-neutral with a non-personal default in fused-head use.
those,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,Generally gender-neutral with a non-personal default in fused-head use.
the,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
us_det,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,Treated as determinative throughout; retained as a clear anchor.
we_det,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,Treated as determinative throughout; retained as a clear anchor.
you_det,determinative,clear_determinative_anchor,matrix_clean_seed,personal_epicene,Treated as determinative throughout; retained as a clear anchor.
what_det,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_if_pro_form__neutral_with_overt_head,"Treated as determinative throughout, including exclamative what a N; retained as a clear anchor."
whatever_det,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_if_pro_form__neutral_with_overt_head,Treated as determinative throughout; retained as a clear anchor.
which_rel_det,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_if_pro_form__neutral_with_overt_head,Treated as determinative throughout; retained as a clear anchor.
which_int_det,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_if_pro_form__neutral_with_overt_head,Treated as determinative throughout; retained as a clear anchor.
whichever_rel_det,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_if_pro_form__neutral_with_overt_head,Treated as determinative throughout; retained as a clear anchor.
whichever_int_det,determinative,clear_determinative_anchor,matrix_clean_seed,non_personal_if_pro_form__neutral_with_overt_head,Treated as determinative throughout; retained as a clear anchor.
zero_det,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
various_det,determinative,clear_determinative_anchor,matrix_clean_seed,gender_neutral,
each_other,pronoun,excluded_item,matrix_clean_seed,gender_neutral,Reciprocal boundary items; exclude from clear pronoun anchors.
one_another,pronoun,excluded_item,matrix_clean_seed,gender_neutral,Reciprocal boundary items; exclude from clear pronoun anchors.
he,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_masculine,
him,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_masculine,
himself,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_masculine,
his,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_masculine,
she,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_feminine,
her_acc,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_feminine,
her_dep,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_feminine,
hers,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_feminine,
herself,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_feminine,
it_plain,pronoun,clear_pronoun_anchor,matrix_clean_seed,non_personal_general,
it_dum,pronoun,excluded_item,matrix_clean_seed,dummy_outside_system,Dummy pronoun outside the personhood system.
its,pronoun,clear_pronoun_anchor,matrix_clean_seed,non_personal_general,
itself,pronoun,clear_pronoun_anchor,matrix_clean_seed,non_personal_general,
I,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
me,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
mine,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
my,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
myself,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
one_pron,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
one_s,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
oneself,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
their_sing,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
theirs_sing,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
their_plur,pronoun,clear_pronoun_anchor,matrix_clean_seed,gender_neutral,
theirs_plur,pronoun,clear_pronoun_anchor,matrix_clean_seed,gender_neutral,
them_sing,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
them_plur,pronoun,clear_pronoun_anchor,matrix_clean_seed,gender_neutral,
themself,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
themselves,pronoun,clear_pronoun_anchor,matrix_clean_seed,gender_neutral,
they_sing,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
they_plur,pronoun,clear_pronoun_anchor,matrix_clean_seed,gender_neutral,
we_pron,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
us_pron,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
our,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
ours,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
ourselves,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
what_pron,determinative,excluded_item,user_instruction_wh_never_pronouns,non_personal_if_pro_form__neutral_with_overt_head,"Seed row encoded pronoun use, but the lexical item is treated as determinative throughout. Keep this compatibility row out of clear anchors to avoid double counting."
whatever_pron,pronoun,review_item,matrix_clean_seed,non_personal_general,
which_rel_pron,determinative,excluded_item,user_instruction_which_is_determinative,non_personal_if_pro_form__neutral_with_overt_head,"Seed row encoded pronoun use, but the lexical item is treated as determinative throughout. Keep this compatibility row out of clear anchors to avoid double counting."
who_int,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
who_rel,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
whom_int,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
whom_rel,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
whose_int,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
whose_rel,pronoun,clear_pronoun_anchor,matrix_clean_seed,gender_neutral,
whoever,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
whoever_s,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
whosever,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
whosoever,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
whosoever_s,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
you_pron_sing,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
you_pron_plur,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
your_sing,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
yours_sing,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
your_plur,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
yours_plur,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
yourself,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
yourselves,pronoun,clear_pronoun_anchor,matrix_clean_seed,personal_epicene,
today,noun,excluded_item,user_instruction_temporal_items_are_nouns,temporal_noun_outside_system,Temporal noun; exclude from the pronoun/determinative inventory.
tomorrow,noun,excluded_item,user_instruction_temporal_items_are_nouns,temporal_noun_outside_system,Temporal noun; exclude from the pronoun/determinative inventory.
tonight,noun,excluded_item,user_instruction_temporal_items_are_nouns,temporal_noun_outside_system,Temporal noun; exclude from the pronoun/determinative inventory.
yesterday,noun,excluded_item,user_instruction_temporal_items_are_nouns,temporal_noun_outside_system,Temporal noun; exclude from the pronoun/determinative inventory.
