"fused","pron","T_obs","T0","p_two_sided","subset"
"anybody;anyone;everybody;everyone;no_one;nobody","he;her_acc;her_dep;hers;herself;him",0.0788847677706591,0.00184032487303725,0.00559888022395521,"canonical"
"us_det;nobody;we_det;everyone;no_one;someone","its;you_pron_sing;theirs_sing;tonight;we_pron;today",-0.0149872207507239,-0.000244048231359679,0.570085982803439,"rotation"
"we_det;anyone;no_one;nobody;everyone;us_det","it_plain;we_pron;it_dum;our;them_plur;whom_rel",0.0416377646026869,0.0136922608042148,0.298540291941612,"rotation"
"someone;anybody;nobody;somebody;everybody;you_det","today;whatever_pron;he;tomorrow;its;themself",-0.0125904739973257,0.00305092461310256,0.566086782643471,"rotation"
"us_det;anyone;everyone;somebody;anybody;nobody","your_sing;one_pron;you_pron_sing;whoever;it_plain;herself",0.0559503728349072,0.0031423612465902,0.0443911217756449,"rotation"
"everyone;we_det;someone;anyone;no_one;us_det","whose_int;you_pron_plur;whatever_pron;which_rel_pron;she;itself",0.00251222198763534,-5.24675639616811e-05,0.925614877024595,"rotation"
"nobody;anyone;you_det;us_det;someone;anybody","whom_rel;their_plur;yours_sing;us_pron;hers;you_pron_sing",0.0227249065065671,-0.00584581590376202,0.281143771245751,"rotation"
"anyone;you_det;us_det;someone;everybody;no_one","mine;me;today;whoever_s;you_pron_sing;hers",0.012502511206599,-0.00545077789386471,0.481703659268146,"rotation"
"us_det;you_det;we_det;somebody;no_one;anybody","whoever;oneself;themselves;today;myself;yourself",-0.0957716131599268,-0.00351615397062081,0.000799840031993601,"rotation"
"nobody;no_one;anybody;we_det;anyone;us_det","whoever_s;herself;they_sing;there;oneself;what_pron",0.0251680861444283,0.0246677957403517,0.984603079384123,"rotation"
"no_one;everyone;we_det;nobody;you_det;us_det","whom_rel;yours_plur;your_sing;their_sing;he;you_pron_sing",0.0428497907383585,-0.000544894668816162,0.0935812837432514,"rotation"
"anyone;someone;us_det;you_det;anybody;nobody","he;tonight;one_s;yourselves;whom_int;hers",-0.0198479509045093,-0.00155190817586477,0.48130373925215,"rotation"
"someone;everyone;everybody;anyone;anybody;no_one","me;ourselves;yourselves;their_sing;yesterday;one_s",0.0648674007859757,-0.00196238195316499,0.0113977204559088,"rotation"
"somebody;nobody;anybody;everyone;no_one;someone","it_plain;you_pron_plur;what_pron;whoever;us_pron;there",0.100671607303673,0.0251743613405582,0.00579884023195361,"rotation"
