lemma,seed_class,role,family,locative_compound,source,reason
a,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
a_certain,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
a_few,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
a_great_many,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
a_little,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
all,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
another,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
any,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
anybody,determinative,compound_anchor,C:any,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
anyone,determinative,compound_anchor,C:any,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
anything,determinative,compound_anchor,C:any,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
anywhere,determinative,compound_anchor,C:any,1,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
both,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
certain,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
each,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
either,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
enough,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
every,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
everybody,determinative,compound_anchor,C:every,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
everyone,determinative,compound_anchor,C:every,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
everything,determinative,compound_anchor,C:every,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
everywhere,determinative,compound_anchor,C:every,1,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
few,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
fewer,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
fewest,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
little,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
less,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
least,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
many,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
many_a,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
more,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
most,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
much,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
neither,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
last,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
next,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
no,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
none,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
nobody,determinative,compound_anchor,C:no,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
no_one,determinative,compound_anchor,C:no,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
nothing,determinative,compound_anchor,C:no,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
nowhere,determinative,compound_anchor,C:no,1,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
one_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
two_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
three_det,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
once,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
twice,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
thrice,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
several,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
some,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
somebody,determinative,compound_anchor,C:some,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
someone,determinative,compound_anchor,C:some,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
something,determinative,compound_anchor,C:some,0,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
somewhere,determinative,compound_anchor,C:some,1,"CGEL Ch. 5 sec. 9.6 [41], p. 423","One of the sixteen central compound determinatives, including locatives."
somewhat,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
such,determinative,context,,0,"Reynolds (2021), inventory",Outside the prespecified central comparison groups.
