lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
anybody,compound_anchor,C:any,True,full,item,none,equal_block_total,154,41,15,0.8189748231966288,0.4691042663327707,0.34987055686385815,0.34987055686385815
anyone,compound_anchor,C:any,True,full,item,none,equal_block_total,154,41,15,0.8189748231966288,0.46917138710024275,0.3498034360963861,0.3498034360963861
anything,compound_anchor,C:any,True,full,item,none,equal_block_total,154,41,15,0.8243576924228709,0.4814831293436531,0.3428745630792178,0.3428745630792178
anywhere,compound_anchor,C:any,True,full,item,none,equal_block_total,154,41,15,0.8832118921504001,0.5590500811781768,0.3241618109722233,0.3241618109722233
everybody,compound_anchor,C:every,True,full,item,none,equal_block_total,154,41,15,0.772562741785037,0.49997980226253635,0.2725829395225007,0.2725829395225007
everyone,compound_anchor,C:every,True,full,item,none,equal_block_total,154,41,15,0.772562741785037,0.5000294769787983,0.27253326480623874,0.27253326480623874
everything,compound_anchor,C:every,True,full,item,none,equal_block_total,154,41,15,0.7942784701734605,0.4765922622658085,0.31768620790765206,0.31768620790765206
everywhere,compound_anchor,C:every,True,full,item,none,equal_block_total,154,41,15,0.8438437969935504,0.540032939637639,0.3038108573559114,0.3038108573559114
nobody,compound_anchor,C:no,True,full,item,none,equal_block_total,154,41,15,0.8060086078804307,0.4379275919330733,0.3680810159473574,0.3680810159473574
no_one,compound_anchor,C:no,True,full,item,none,equal_block_total,154,41,15,0.8084429741978237,0.4482055033065198,0.3602374708913039,0.3602374708913039
nothing,compound_anchor,C:no,True,full,item,none,equal_block_total,154,41,15,0.8359644771023091,0.46974859887394066,0.3662158782283685,0.3662158782283685
nowhere,compound_anchor,C:no,True,full,item,none,equal_block_total,154,41,15,0.8809530749612597,0.5456298384621666,0.3353232364990931,0.3353232364990931
somebody,compound_anchor,C:some,True,full,item,none,equal_block_total,154,41,15,0.8110369049098356,0.4536983973348742,0.3573385075749614,0.3573385075749614
someone,compound_anchor,C:some,True,full,item,none,equal_block_total,154,41,15,0.8110369049098356,0.4537879760077877,0.3572489289020479,0.3572489289020479
something,compound_anchor,C:some,True,full,item,none,equal_block_total,154,41,15,0.8285605651953525,0.47702723495410937,0.3515333302412431,0.3515333302412431
somewhere,compound_anchor,C:some,True,full,item,none,equal_block_total,154,41,15,0.8873084034169157,0.5694249448010387,0.3178834586158771,0.3178834586158771
each_other,target,reciprocal,False,full,item,none,equal_block_total,154,41,16,0.753363309751842,0.6815694993430186,0.07179381040882338,
one_another,target,reciprocal,False,full,item,none,equal_block_total,154,41,16,0.7601216628687412,0.6869940200268123,0.07312764284192885,
he,pronoun_anchor,P:he,True,full,item,none,equal_block_total,154,40,16,0.6644571134541036,0.7897055293012865,-0.12524841584718283,0.12524841584718283
him,pronoun_anchor,P:he,True,full,item,none,equal_block_total,154,40,16,0.496416471360995,0.8396261536169971,-0.3432096822560021,0.3432096822560021
himself,pronoun_anchor,P:he,True,full,item,none,equal_block_total,154,40,16,0.5140665353193927,0.8179623313700974,-0.3038957960507047,0.3038957960507047
his,pronoun_anchor,P:he,True,full,item,none,equal_block_total,154,40,16,0.4726556052977949,0.7900754163485764,-0.3174198110507815,0.3174198110507815
she,pronoun_anchor,P:she,True,full,item,none,equal_block_total,154,40,16,0.652837726689633,0.793454409473653,-0.14061668278401995,0.14061668278401995
her_acc,pronoun_anchor,P:she,True,full,item,none,equal_block_total,154,40,16,0.47732498794847106,0.823710403341655,-0.34638541539318396,0.34638541539318396
her_dep,pronoun_anchor,P:she,True,full,item,none,equal_block_total,154,40,16,0.6556892677513432,0.8249482573878322,-0.169258989636489,0.169258989636489
hers,pronoun_anchor,P:she,True,full,item,none,equal_block_total,154,40,16,0.4651506244731527,0.7853922126945367,-0.32024158822138404,0.32024158822138404
herself,pronoun_anchor,P:she,True,full,item,none,equal_block_total,154,40,16,0.5043484349020952,0.8201692353464731,-0.3158208004443779,0.3158208004443779
it_plain,pronoun_anchor,P:it,True,full,item,none,equal_block_total,154,40,16,0.551979490294499,0.840788600385285,-0.288809110090786,0.288809110090786
it_dum,pronoun_anchor,P:it,True,full,item,none,equal_block_total,154,40,16,0.8235665790372405,0.8063119052755163,0.017254673761724182,-0.017254673761724182
its,pronoun_anchor,P:it,True,full,item,none,equal_block_total,154,40,16,0.5492675392721551,0.8212238492838185,-0.2719563100116634,0.2719563100116634
itself,pronoun_anchor,P:it,True,full,item,none,equal_block_total,154,40,16,0.5557304971527828,0.7997888843350377,-0.24405838718225492,0.24405838718225492
I,pronoun_anchor,P:I,True,full,item,none,equal_block_total,154,40,16,0.6607856563159071,0.8161394361231514,-0.1553537798072443,0.1553537798072443
me,pronoun_anchor,P:I,True,full,item,none,equal_block_total,154,40,16,0.4999359317889674,0.8582344155608566,-0.35829848377188916,0.35829848377188916
mine,pronoun_anchor,P:I,True,full,item,none,equal_block_total,154,40,16,0.4449897170868541,0.7853922126945367,-0.34040249560768265,0.34040249560768265
my,pronoun_anchor,P:I,True,full,item,none,equal_block_total,154,40,16,0.6595016287088311,0.8418936299156019,-0.1823920012067708,0.1823920012067708
myself,pronoun_anchor,P:I,True,full,item,none,equal_block_total,154,40,16,0.49413653778994016,0.8201692353464731,-0.32603269755653297,0.32603269755653297
their_sing,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.6656710749183588,0.8501743168044997,-0.18450324188614098,0.18450324188614098
theirs_sing,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.5088757932746979,0.8177582127065046,-0.3088824194318067,0.3088824194318067
their_plur,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.6828514714327578,0.867369836887577,-0.18451836545481914,0.18451836545481914
theirs_plur,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.5226699128444576,0.8314744614285481,-0.30880454858409045,0.30880454858409045
them_sing,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.5284567971989022,0.8632464767782198,-0.3347896795793176,0.3347896795793176
them_plur,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.5417505471673904,0.8881186198545402,-0.34636807268714986,0.34636807268714986
themself,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.5555639093397827,0.853905377409087,-0.2983414680693043,0.2983414680693043
themselves,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.5532970497951875,0.8702672614270438,-0.31697021163185635,0.31697021163185635
they_sing,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.674030803965979,0.8374714715236656,-0.1634406675576866,0.1634406675576866
they_plur,pronoun_anchor,P:they,True,full,item,none,equal_block_total,154,40,16,0.6828015974575683,0.8696131791497219,-0.18681158169215362,0.18681158169215362
we_pron,pronoun_anchor,P:we,True,full,item,none,equal_block_total,154,40,16,0.6393635386928092,0.8065703392761552,-0.16720680058334603,0.16720680058334603
us_pron,pronoun_anchor,P:we,True,full,item,none,equal_block_total,154,40,16,0.4811768021996888,0.8410496026107842,-0.35987280041109543,0.35987280041109543
our,pronoun_anchor,P:we,True,full,item,none,equal_block_total,154,40,16,0.6537678792067156,0.8312429670251748,-0.1774750878184591,0.1774750878184591
ours,pronoun_anchor,P:we,True,full,item,none,equal_block_total,154,40,16,0.45755744663081366,0.7797697898077248,-0.32221234317691116,0.32221234317691116
ourselves,pronoun_anchor,P:we,True,full,item,none,equal_block_total,154,40,16,0.5055101166323546,0.8305250850454233,-0.32501496841306876,0.32501496841306876
you_pron_sing,pronoun_anchor,P:you,True,full,item,none,equal_block_total,154,40,16,0.5011336338887176,0.8217916180668317,-0.3206579841781141,0.3206579841781141
you_pron_plur,pronoun_anchor,P:you,True,full,item,none,equal_block_total,154,40,16,0.503183389809968,0.8358905711713028,-0.3327071813613348,0.3327071813613348
your_sing,pronoun_anchor,P:you,True,full,item,none,equal_block_total,154,40,16,0.6609493253859193,0.828365743732489,-0.16741641834656962,0.16741641834656962
yours_sing,pronoun_anchor,P:you,True,full,item,none,equal_block_total,154,40,16,0.46310938163115,0.782152950078769,-0.31904356844761894,0.31904356844761894
your_plur,pronoun_anchor,P:you,True,full,item,none,equal_block_total,154,40,16,0.6609493253859193,0.828365743732489,-0.16741641834656962,0.16741641834656962
yours_plur,pronoun_anchor,P:you,True,full,item,none,equal_block_total,154,40,16,0.46405687835181125,0.7713500963168938,-0.3072932179650825,0.3072932179650825
yourself,pronoun_anchor,P:you,True,full,item,none,equal_block_total,154,40,16,0.4976384927953247,0.8131430781295891,-0.3155045853342644,0.3155045853342644
yourselves,pronoun_anchor,P:you,True,full,item,none,equal_block_total,154,40,16,0.49528753953756766,0.8254742498213571,-0.33018671028378943,0.33018671028378943
anybody,compound_anchor,C:any,True,full,family,none,equal_block_total,154,41,12,0.8189748231966288,0.5166461888984086,0.3023286342982202,0.3023286342982202
