pool,holdout,drop,metric,reference,n_controls,controls_correct,p_min,p_max,c_min,c_max,each_other_delta,each_other_within_pronoun_range,each_other_within_compound_range,each_other_between_control_ranges,one_another_delta,one_another_within_pronoun_range,one_another_within_compound_range,one_another_between_control_ranges,each_other_reference_percentile,one_another_reference_percentile
full,family,morph,dice,fixed_total,57,57,-0.2909812971910628,-0.0856549363289967,0.1365663191780621,0.2928722604943889,-0.0833096035175095,False,False,True,-0.0833096035175095,False,False,True,0.13025,0.12745
full,family,morph,dice,within_block,57,57,-0.2909812971910628,-0.0856549363289967,0.1365663191780621,0.2928722604943889,-0.0833096035175095,False,False,True,-0.0833096035175095,False,False,True,0.12315,0.12625
full,family,morph,hamming,fixed_total,57,57,-0.1315755873340142,-0.0101541147889462,0.0792911299899514,0.1565725769617247,-0.0203994244998629,True,False,False,-0.0203994244998629,True,False,False,0.12125,0.1188
full,family,morph,hamming,within_block,57,57,-0.1315755873340142,-0.0101541147889462,0.0792911299899514,0.1565725769617247,-0.0203994244998629,True,False,False,-0.0203994244998629,True,False,False,0.1134,0.11515
full,family,morph,idf_jaccard,fixed_total,57,57,-0.2420821450806312,-0.0210372847266523,0.1517174902330309,0.2652309137607278,-0.0397289048432883,True,False,False,-0.0397289048432883,True,False,False,0.06395,0.06425
full,family,morph,idf_jaccard,within_block,57,57,-0.2420821450806312,-0.0210372847266523,0.1517174902330309,0.2652309137607278,-0.0397289048432883,True,False,False,-0.0397289048432883,True,False,False,0.03255,0.0326
full,family,morph,jaccard,fixed_total,57,57,-0.2756447092359755,-0.0669282944681209,0.1323774096790536,0.2743256118575342,-0.0764086682597408,True,False,False,-0.0764086682597408,True,False,False,0.04385,0.04515
full,family,morph,jaccard,within_block,57,57,-0.2756447092359755,-0.0669282944681209,0.1323774096790536,0.2743256118575342,-0.0764086682597408,True,False,False,-0.0764086682597408,True,False,False,0.0419,0.0446
full,family,none,dice,fixed_total,57,57,-0.3355433943170684,-0.0461565851937795,0.2049377081615438,0.3471937999177775,0.0482520695214281,False,False,True,0.0549995810877577,False,False,True,0.83335,0.86745
full,family,none,dice,within_block,57,57,-0.3355433943170684,-0.0461565851937795,0.2049377081615438,0.3471937999177775,0.0482520695214281,False,False,True,0.0549995810877577,False,False,True,0.81845,0.8572
full,family,none,hamming,fixed_total,57,56,-0.1136363636363636,0.0104861354861354,0.0948289515362686,0.1411149825783972,0.0330218561925878,False,False,True,0.0362686094393411,False,False,True,0.747525,0.80015
full,family,none,hamming,within_block,57,56,-0.1136363636363636,0.0104861354861354,0.0948289515362686,0.1411149825783972,0.0330218561925878,False,False,True,0.0362686094393411,False,False,True,0.73155,0.788025
full,family,none,idf_jaccard,fixed_total,57,57,-0.2334697239701789,-0.0069748871273771,0.1666572095918537,0.2498596525882442,0.0350402621334876,False,False,True,0.0465589496082586,False,False,True,0.8928,0.9556
full,family,none,idf_jaccard,within_block,57,57,-0.2334697239701789,-0.0069748871273771,0.1666572095918537,0.2498596525882442,0.0350402621334876,False,False,True,0.0465589496082586,False,False,True,0.8318,0.92905
full,family,none,jaccard,fixed_total,57,57,-0.2949567039145228,-0.0355044815595858,0.1917469958665699,0.3040121444816234,0.0397758759773642,False,False,True,0.0455444433596636,False,False,True,0.9006,0.92855
full,family,none,jaccard,within_block,57,57,-0.2949567039145228,-0.0355044815595858,0.1917469958665699,0.3040121444816234,0.0397758759773642,False,False,True,0.0455444433596636,False,False,True,0.88425,0.91655
full,family,phon,dice,fixed_total,57,57,-0.3286829890273296,-0.0541186477884678,0.1985646580277074,0.3426602581496509,0.0398214706489885,False,False,True,0.0471814127014014,False,False,True,0.79055,0.8304
full,family,phon,dice,within_block,57,57,-0.3286829890273296,-0.0541186477884678,0.1985646580277074,0.3426602581496509,0.0398214706489885,False,False,True,0.0471814127014014,False,False,True,0.7955,0.8364
full,family,phon,hamming,fixed_total,57,56,-0.1221486387049302,0.0046089135493109,0.0907365530608947,0.1379421741237279,0.0277015021805847,False,False,True,0.0310127604587303,False,False,True,0.72185,0.78045
full,family,phon,hamming,within_block,57,56,-0.1221486387049302,0.0046089135493109,0.0907365530608947,0.1379421741237279,0.0277015021805847,False,False,True,0.0310127604587303,False,False,True,0.7346,0.7875
full,family,phon,idf_jaccard,fixed_total,57,57,-0.2287977976691432,-0.0093847027794194,0.1648769080204649,0.2487872940131413,0.0326733683833081,False,False,True,0.044808197142363,False,False,True,0.8687,0.942
full,family,phon,idf_jaccard,within_block,57,57,-0.2287977976691432,-0.0093847027794194,0.1648769080204649,0.2487872940131413,0.0326733683833081,False,False,True,0.044808197142363,False,False,True,0.81685,0.9208
full,family,phon,jaccard,fixed_total,57,57,-0.2891992426786949,-0.0418392514448082,0.1864226153282396,0.300118797691048,0.0322300913334905,False,False,True,0.0387212001777128,False,False,True,0.85245,0.8933
full,family,phon,jaccard,within_block,57,57,-0.2891992426786949,-0.0418392514448082,0.1864226153282396,0.300118797691048,0.0322300913334905,False,False,True,0.0387212001777128,False,False,True,0.8495,0.896
full,family,sem,dice,fixed_total,57,57,-0.3644807172459627,-0.0530138482051729,0.3204933369943213,0.3948139637192742,0.2198423775013826,False,False,True,0.220334011298714,False,False,True,0.9994,0.99945
full,family,sem,dice,within_block,57,57,-0.3644807172459627,-0.0530138482051729,0.3204933369943213,0.3948139637192742,0.2198423775013826,False,False,True,0.220334011298714,False,False,True,0.99895,0.9994
full,family,sem,hamming,fixed_total,57,56,-0.1108700109349371,0.0105502748511222,0.1137694639658261,0.1461864406779661,0.0778084952459694,False,False,True,0.0820457833815626,False,False,True,0.999,0.9993
