drop,feature,block,weight
none,a,morph,0.015384615384615385
none,another,morph,0.015384615384615385
none,any,morph,0.015384615384615385
none,body,morph,0.015384615384615385
none,certain,morph,0.015384615384615385
none,day,morph,0.015384615384615385
none,each,morph,0.015384615384615385
none,either,morph,0.015384615384615385
none,ever,morph,0.015384615384615385
none,every,morph,0.015384615384615385
none,few,morph,0.015384615384615385
none,her,morph,0.015384615384615385
none,him,morph,0.015384615384615385
none,it,morph,0.015384615384615385
none,its,morph,0.015384615384615385
none,little,morph,0.015384615384615385
none,many,morph,0.015384615384615385
none,many_a,morph,0.015384615384615385
none,my,morph,0.015384615384615385
none,no,morph,0.015384615384615385
none,no_one,morph,0.015384615384615385
none,one,morph,0.015384615384615385
none,one_s,morph,0.015384615384615385
none,other,morph,0.015384615384615385
none,our,morph,0.015384615384615385
none,ours,morph,0.015384615384615385
none,self,morph,0.015384615384615385
none,some,morph,0.015384615384615385
none,their,morph,0.015384615384615385
none,theirs,morph,0.015384615384615385
none,them,morph,0.015384615384615385
none,they,morph,0.015384615384615385
none,thing,morph,0.015384615384615385
none,to,morph,0.015384615384615385
none,us,morph,0.015384615384615385
none,we,morph,0.015384615384615385
none,what,morph,0.015384615384615385
none,whatever,morph,0.015384615384615385
none,where,morph,0.015384615384615385
none,which,morph,0.015384615384615385
none,whichever,morph,0.015384615384615385
none,who,morph,0.015384615384615385
none,whoever,morph,0.015384615384615385
none,whom,morph,0.015384615384615385
none,whose,morph,0.015384615384615385
none,whosoever,morph,0.015384615384615385
none,you,morph,0.015384615384615385
none,your,morph,0.015384615384615385
none,yours,morph,0.015384615384615385
none,genitive_case,morph,0.015384615384615385
none,accusative_case,morph,0.015384615384615385
none,nominative_case,morph,0.015384615384615385
none,in_word_formation_e_g_a_many_sided_shape,morph,0.015384615384615385
none,has_derivationtionally_related_words,morph,0.015384615384615385
none,has_corresponding_word,morph,0.015384615384615385
none,compound_word,morph,0.015384615384615385
none,inflects_for_case,morph,0.015384615384615385
none,paradigm_has_distinct_acc_form,morph,0.015384615384615385
none,paradigm_has_genitive_form,morph,0.015384615384615385
none,paradigm_has_distinct_independent_genitive_form,morph,0.015384615384615385
none,paradigm_has_distinct_self_form,morph,0.015384615384615385
none,paradigm_has_comparative_and_superlative_forms,morph,0.015384615384615385
none,paradigm_has_distinct_plural_form,morph,0.015384615384615385
none,does_not_inflect,morph,0.015384615384615385
none,Monmorphemic,morph,0.015384615384615385
none,Must_be_stressed_as_object_after_particle,phon,0.3333333333333333
none,Start_with_th,phon,0.3333333333333333
none,Start_with_hw,phon,0.3333333333333333
none,anaphoric_marker,sem,0.027777777777777776
none,deictic_marker,sem,0.027777777777777776
none,person_deixis,sem,0.027777777777777776
none,pro_form,sem,0.027777777777777776
none,personal_gender_as_head_or_fused_head,sem,0.027777777777777776
none,non_personal_gender,sem,0.027777777777777776
none,epicene_personal_gender,sem,0.027777777777777776
none,masculine_gender,sem,0.027777777777777776
none,feminine_gender,sem,0.027777777777777776
none,definite,sem,0.027777777777777776
none,indefinite,sem,0.027777777777777776
none,existential,sem,0.027777777777777776
none,universal,sem,0.027777777777777776
none,free_choice,sem,0.027777777777777776
none,negative,sem,0.027777777777777776
none,interrogative,sem,0.027777777777777776
none,non_affirmative,sem,0.027777777777777776
none,reflexive,sem,0.027777777777777776
none,reciprocal,sem,0.027777777777777776
none,dual,sem,0.027777777777777776
none,paucal,sem,0.027777777777777776
none,multal,sem,0.027777777777777776
none,proportional,sem,0.027777777777777776
none,semantically_countable,sem,0.027777777777777776
none,semantically_uncountable,sem,0.027777777777777776
none,semantically_singular,sem,0.027777777777777776
none,semantically_plural,sem,0.027777777777777776
none,distributive,sem,0.027777777777777776
none,joint,sem,0.027777777777777776
none,cardinal,sem,0.027777777777777776
none,disjunctive,sem,0.027777777777777776
none,degree,sem,0.027777777777777776
none,sufficiency,sem,0.027777777777777776
none,temporal,sem,0.027777777777777776
none,locative,sem,0.027777777777777776
none,dummy,sem,0.027777777777777776
none,can_be_followed_by_adjective_such,synt,0.02
none,can_be_modified_by_almost,synt,0.02
none,can_be_modified_by_approximately,synt,0.02
none,can_be_modified_by_at_least,synt,0.02
none,can_be_modified_by_hardly,synt,0.02
none,can_be_modified_by_not,synt,0.02
none,can_be_modified_by_adverb_very,synt,0.02
none,Coordinates_with_independent_genitives,synt,0.02
none,Coordinates_with_dependent_genitives,synt,0.02
none,Coordinates_with_NPs,synt,0.02
none,intensifying_reduplication,synt,0.02
none,selects_singular_heads,synt,0.02
none,selects_count_singular_heads,synt,0.02
none,selects_non_count_heads,synt,0.02
none,selects_plural_heads,synt,0.02
none,compatible_count_sing_NP,synt,0.02
none,compatible_count_plur_NP,synt,0.02
none,compatible_non_count_NP,synt,0.02
none,Forms_universal_pronouns_before_all,synt,0.02
none,functions_as_a_predeterminer_modifier,synt,0.02
none,functions_as_prehead_modifier_in_nominal,synt,0.02
none,functions_as_degree_modifier_in_AdjP,synt,0.02
none,functions_as_predicative_complement,synt,0.02
none,functions_as_predicative_complement_to_seem,synt,0.02
none,functions_as_marker_of_coordination,synt,0.02
none,functions_as_fused_determiner_head,synt,0.02
none,functions_as_head_of_partitive_construction,synt,0.02
none,functions_as_adjunct_in_clause_structure,synt,0.02
none,functions_as_attrib_modifier_in_nominal,synt,0.02
none,appears_in_subject,synt,0.02
none,appears_in_object,synt,0.02
none,functions_as_post_head_modifier_of_it_or_them,synt,0.02
none,functions_as_post_head_modifier_of_N,synt,0.02
none,appears_in_existentials_there_s_on_the_table,synt,0.02
none,functions_as_determiner_in_day_s_time_ago,synt,0.02
none,functions_as_subject_of_present_participal_of_joining_you,synt,0.02
none,Functions_as_subject_of_interrogative_tag,synt,0.02
none,functions_as_subject_determiner,synt,0.02
none,functions_in_vocative,synt,0.02
none,May_coordinate_with_non_fused_determiners,synt,0.02
none,must_be_outranked_by_a_coindexed_element,synt,0.02
none,takes_predeterminer_modifiers_all_or_both,synt,0.02
none,occurs_after_predeterminer_modifiers_fractions,synt,0.02
none,occurs_after_predeterminer_modifiers_multipliers,synt,0.02
none,ironic_use_of_repetition,synt,0.02
none,take_poor_lucky_silly_as_attrib_modifiers,synt,0.02
none,takes_adverb_quite_as_a_modifier,synt,0.02
none,takes_else_or_more_as_a_post_head_dependent,synt,0.02
none,accepts_genitive_apstrophe_s,synt,0.02
none,takes_post_head_modifier_the_hell,synt,0.02
morph,Must_be_stressed_as_object_after_particle,phon,0.3333333333333333
morph,Start_with_th,phon,0.3333333333333333
morph,Start_with_hw,phon,0.3333333333333333
morph,anaphoric_marker,sem,0.027777777777777776
morph,deictic_marker,sem,0.027777777777777776
morph,person_deixis,sem,0.027777777777777776
morph,pro_form,sem,0.027777777777777776
morph,personal_gender_as_head_or_fused_head,sem,0.027777777777777776
morph,non_personal_gender,sem,0.027777777777777776
morph,epicene_personal_gender,sem,0.027777777777777776
morph,masculine_gender,sem,0.027777777777777776
morph,feminine_gender,sem,0.027777777777777776
morph,definite,sem,0.027777777777777776
morph,indefinite,sem,0.027777777777777776
morph,existential,sem,0.027777777777777776
morph,universal,sem,0.027777777777777776
morph,free_choice,sem,0.027777777777777776
morph,negative,sem,0.027777777777777776
morph,interrogative,sem,0.027777777777777776
morph,non_affirmative,sem,0.027777777777777776
morph,reflexive,sem,0.027777777777777776
morph,reciprocal,sem,0.027777777777777776
morph,dual,sem,0.027777777777777776
morph,paucal,sem,0.027777777777777776
morph,multal,sem,0.027777777777777776
morph,proportional,sem,0.027777777777777776
morph,semantically_countable,sem,0.027777777777777776
morph,semantically_uncountable,sem,0.027777777777777776
morph,semantically_singular,sem,0.027777777777777776
morph,semantically_plural,sem,0.027777777777777776
morph,distributive,sem,0.027777777777777776
morph,joint,sem,0.027777777777777776
morph,cardinal,sem,0.027777777777777776
morph,disjunctive,sem,0.027777777777777776
morph,degree,sem,0.027777777777777776
morph,sufficiency,sem,0.027777777777777776
morph,temporal,sem,0.027777777777777776
morph,locative,sem,0.027777777777777776
morph,dummy,sem,0.027777777777777776
morph,can_be_followed_by_adjective_such,synt,0.02
morph,can_be_modified_by_almost,synt,0.02
morph,can_be_modified_by_approximately,synt,0.02
morph,can_be_modified_by_at_least,synt,0.02
morph,can_be_modified_by_hardly,synt,0.02
morph,can_be_modified_by_not,synt,0.02
morph,can_be_modified_by_adverb_very,synt,0.02
morph,Coordinates_with_independent_genitives,synt,0.02
morph,Coordinates_with_dependent_genitives,synt,0.02
morph,Coordinates_with_NPs,synt,0.02
morph,intensifying_reduplication,synt,0.02
morph,selects_singular_heads,synt,0.02
morph,selects_count_singular_heads,synt,0.02
morph,selects_non_count_heads,synt,0.02
morph,selects_plural_heads,synt,0.02
morph,compatible_count_sing_NP,synt,0.02
morph,compatible_count_plur_NP,synt,0.02
morph,compatible_non_count_NP,synt,0.02
morph,Forms_universal_pronouns_before_all,synt,0.02
morph,functions_as_a_predeterminer_modifier,synt,0.02
morph,functions_as_prehead_modifier_in_nominal,synt,0.02
morph,functions_as_degree_modifier_in_AdjP,synt,0.02
morph,functions_as_predicative_complement,synt,0.02
morph,functions_as_predicative_complement_to_seem,synt,0.02
morph,functions_as_marker_of_coordination,synt,0.02
morph,functions_as_fused_determiner_head,synt,0.02
morph,functions_as_head_of_partitive_construction,synt,0.02
morph,functions_as_adjunct_in_clause_structure,synt,0.02
morph,functions_as_attrib_modifier_in_nominal,synt,0.02
morph,appears_in_subject,synt,0.02
morph,appears_in_object,synt,0.02
morph,functions_as_post_head_modifier_of_it_or_them,synt,0.02
morph,functions_as_post_head_modifier_of_N,synt,0.02
morph,appears_in_existentials_there_s_on_the_table,synt,0.02
morph,functions_as_determiner_in_day_s_time_ago,synt,0.02
morph,functions_as_subject_of_present_participal_of_joining_you,synt,0.02
morph,Functions_as_subject_of_interrogative_tag,synt,0.02
morph,functions_as_subject_determiner,synt,0.02
morph,functions_in_vocative,synt,0.02
morph,May_coordinate_with_non_fused_determiners,synt,0.02
morph,must_be_outranked_by_a_coindexed_element,synt,0.02
morph,takes_predeterminer_modifiers_all_or_both,synt,0.02
morph,occurs_after_predeterminer_modifiers_fractions,synt,0.02
morph,occurs_after_predeterminer_modifiers_multipliers,synt,0.02
morph,ironic_use_of_repetition,synt,0.02
morph,take_poor_lucky_silly_as_attrib_modifiers,synt,0.02
morph,takes_adverb_quite_as_a_modifier,synt,0.02
morph,takes_else_or_more_as_a_post_head_dependent,synt,0.02
morph,accepts_genitive_apstrophe_s,synt,0.02
morph,takes_post_head_modifier_the_hell,synt,0.02
