pool,holdout,drop,metric,role,count,minimum,median,maximum
full,family,morph,dice,compound_anchor,16,0.1365663191780621,0.25842150091782684,0.2928722604943889
full,family,morph,dice,pronoun_anchor,41,0.0856549363289967,0.2055871933168563,0.2909812971910628
full,family,morph,hamming,compound_anchor,16,0.0792911299899514,0.1292819950671416,0.1565725769617247
full,family,morph,hamming,pronoun_anchor,41,0.0101541147889462,0.0999106230847805,0.1315755873340142
full,family,morph,idf_jaccard,compound_anchor,16,0.1517174902330309,0.2229827895408449,0.2652309137607278
full,family,morph,idf_jaccard,pronoun_anchor,41,0.0210372847266523,0.1691610101501007,0.2420821450806312
full,family,morph,jaccard,compound_anchor,16,0.1323774096790536,0.24339947241385018,0.2743256118575342
full,family,morph,jaccard,pronoun_anchor,41,0.0669282944681209,0.2132587442458546,0.2756447092359755
full,family,none,dice,compound_anchor,16,0.2049377081615438,0.30442898744338953,0.3471937999177775
full,family,none,dice,pronoun_anchor,41,0.0461565851937795,0.2576504858456627,0.3355433943170684
full,family,none,hamming,compound_anchor,16,0.0948289515362686,0.1220963995354239,0.1411149825783972
full,family,none,hamming,pronoun_anchor,41,-0.0104861354861354,0.0909529659529659,0.1136363636363636
full,family,none,idf_jaccard,compound_anchor,16,0.1666572095918537,0.21921436468138034,0.2498596525882442
full,family,none,idf_jaccard,pronoun_anchor,41,0.0069748871273771,0.1634237563726005,0.2334697239701789
full,family,none,jaccard,compound_anchor,16,0.1917469958665699,0.2796334293013686,0.3040121444816234
full,family,none,jaccard,pronoun_anchor,41,0.0355044815595858,0.2381889927501596,0.2949567039145228
full,family,phon,dice,compound_anchor,16,0.1985646580277074,0.29850511428237403,0.3426602581496509
full,family,phon,dice,pronoun_anchor,41,0.0541186477884678,0.2535575993883784,0.3286829890273296
full,family,phon,hamming,compound_anchor,16,0.0907365530608947,0.1185457384375169,0.1379421741237279
full,family,phon,hamming,pronoun_anchor,41,-0.0046089135493109,0.0895879323031641,0.1221486387049302
full,family,phon,idf_jaccard,compound_anchor,16,0.1648769080204649,0.2181795615555729,0.2487872940131413
full,family,phon,idf_jaccard,pronoun_anchor,41,0.0093847027794194,0.1632206286087183,0.2287977976691432
full,family,phon,jaccard,compound_anchor,16,0.1864226153282396,0.2759125757257108,0.300118797691048
full,family,phon,jaccard,pronoun_anchor,41,0.0418392514448082,0.2360728541605548,0.2891992426786949
full,family,sem,dice,compound_anchor,16,0.3204933369943213,0.36782023869455127,0.3948139637192742
full,family,sem,dice,pronoun_anchor,41,0.0530138482051729,0.2511877384184579,0.3644807172459627
full,family,sem,hamming,compound_anchor,16,0.1137694639658261,0.13132148270635247,0.1461864406779661
full,family,sem,hamming,pronoun_anchor,41,-0.0105502748511222,0.07635661563696,0.1108700109349371
full,family,sem,idf_jaccard,compound_anchor,16,0.2268312398365073,0.2629074684933834,0.304892011083449
full,family,sem,idf_jaccard,pronoun_anchor,41,0.0265435878924541,0.1474763069703841,0.2127051911258145
full,family,sem,jaccard,compound_anchor,16,0.3004428882143226,0.32614877531647785,0.3684468715270413
full,family,sem,jaccard,pronoun_anchor,41,0.0410723315044915,0.231050591879158,0.3067922373397134
full,family,synt,dice,compound_anchor,16,0.1652072676678135,0.28650244004883973,0.3771472395526999
full,family,synt,dice,pronoun_anchor,41,-0.0097809769512362,0.3467390858836258,0.4522749730462755
full,family,synt,hamming,compound_anchor,16,0.0808122263914946,0.10770403377110685,0.1352603189493434
full,family,synt,hamming,pronoun_anchor,41,-0.0366099272349272,0.0959599875930521,0.125534188034188
full,family,synt,idf_jaccard,compound_anchor,16,0.1029644844984709,0.1720157385296721,0.2170281784053993
full,family,synt,idf_jaccard,pronoun_anchor,41,-0.0226682176493472,0.179029908004663,0.287023221317856
full,family,synt,jaccard,compound_anchor,16,0.1465187756997348,0.2623197425981261,0.3056043954840547
full,family,synt,jaccard,pronoun_anchor,41,-0.0061628204456193,0.2982368085842659,0.3833366692529653
full,item,morph,dice,compound_anchor,16,0.1772946322481894,0.28732536812717024,0.3139418535696551
full,item,morph,dice,pronoun_anchor,41,0.0947984716620113,0.2101672128205317,0.2971754393796414
full,item,morph,hamming,compound_anchor,16,0.0987667854206631,0.14428610578240603,0.1700557230291404
full,item,morph,hamming,pronoun_anchor,41,0.0153089887640449,0.1043539325842696,0.1335674157303371
full,item,morph,idf_jaccard,compound_anchor,16,0.2222416356180879,0.2859554330070544,0.3206520748262442
full,item,morph,idf_jaccard,pronoun_anchor,41,0.0339336152480194,0.1842240563605264,0.237025360779349
full,item,morph,jaccard,compound_anchor,16,0.1864992338519762,0.2793709086823738,0.3082894625694261
full,item,morph,jaccard,pronoun_anchor,41,0.0745785168048943,0.2135414886576345,0.2830518159486867
full,item,none,dice,compound_anchor,16,0.2477820756496537,0.3325133137790993,0.3699485683316249
full,item,none,dice,pronoun_anchor,41,0.0554648842032331,0.2705866264695439,0.3501969814625104
full,item,none,hamming,compound_anchor,16,0.1098722415795586,0.1343258367648611,0.1510716925351072
full,item,none,hamming,pronoun_anchor,41,-0.006168831168831,0.0959415584415585,0.1168831168831169
full,item,none,idf_jaccard,compound_anchor,16,0.243608063698687,0.2790527860405233,0.3015233631763615
full,item,none,idf_jaccard,pronoun_anchor,41,0.0207754790944173,0.1768938439915229,0.2222595163466952
full,item,none,jaccard,compound_anchor,16,0.2468139350461535,0.3147216135402452,0.33611711560615
full,item,none,jaccard,pronoun_anchor,41,0.0429940769423199,0.2482381672416826,0.3021301057547009
full,item,phon,dice,compound_anchor,16,0.2414090255158174,0.32676403767903095,0.3654150265634983
full,item,phon,dice,pronoun_anchor,41,0.0637695027991284,0.2750248041404972,0.3420364024030674
full,item,phon,hamming,compound_anchor,16,0.1060787164163031,0.1310181446185324,0.1480966995100414
full,item,phon,hamming,pronoun_anchor,41,-0.0001655629139072,0.0947019867549669,0.1223509933774835
full,item,phon,idf_jaccard,compound_anchor,16,0.2415189591248779,0.27779180534029746,0.3002975900410682
full,item,phon,idf_jaccard,pronoun_anchor,41,0.0235286800464203,0.1759300422604615,0.2175450732600474
full,item,phon,jaccard,compound_anchor,16,0.2414895545078232,0.3109390552498754,0.3318169040215072
full,item,phon,jaccard,pronoun_anchor,41,0.0497004546334117,0.2499175883051952,0.2965173654604263
full,item,sem,dice,compound_anchor,16,0.347897955666546,0.3951006666713039,0.41943618879438
full,item,sem,dice,pronoun_anchor,41,0.0590568233371687,0.2580627850331419,0.3795671420162765
full,item,sem,hamming,compound_anchor,16,0.11758302328786,0.13929998622020115,0.1542372881355932
full,item,sem,hamming,pronoun_anchor,41,-0.0070974576271185,0.079343220338983,0.1145127118644068
full,item,sem,idf_jaccard,compound_anchor,16,0.2621096261726076,0.31072989511177607,0.3435955564785754
full,item,sem,idf_jaccard,pronoun_anchor,41,0.0365088598133418,0.1621271730020337,0.2149659593733178
full,item,sem,jaccard,compound_anchor,16,0.31362711788231,0.35891385987568347,0.4015684805943025
full,item,sem,jaccard,pronoun_anchor,41,0.0455568788865469,0.2354053778414002,0.3246148030875185
full,item,synt,dice,compound_anchor,16,0.2203270494514947,0.3211291924465456,0.4143936848636614
full,item,synt,dice,pronoun_anchor,41,0.0022460414874038,0.3595315683922713,0.4628568900035974
