lemma,role,family,pool,holdout,drop,metric,d_pronoun,d_compound,delta,signed_control_margin
anybody,compound_anchor,C:any,full,item,none,jaccard,0.7815811418872559,0.4590281180386543,0.3225530238486016,0.3225530238486016
anybody,compound_anchor,C:any,full,item,none,dice,0.6432312265405868,0.3106954660723741,0.3325357604682127,0.3325357604682127
anybody,compound_anchor,C:any,full,item,none,hamming,0.2416851441241685,0.1073593073593073,0.1343258367648611,0.1343258367648611
anybody,compound_anchor,C:any,full,item,none,idf_jaccard,0.9251021427160832,0.6350805091707427,0.2900216335453405,0.2900216335453405
anybody,compound_anchor,C:any,full,family,none,jaccard,0.7815811418872559,0.5044136489488781,0.2771674929383778,0.2771674929383778
anybody,compound_anchor,C:any,full,family,none,dice,0.6432312265405868,0.3458677081590187,0.2973635183815681,0.2973635183815681
anybody,compound_anchor,C:any,full,family,none,hamming,0.2416851441241685,0.1195887445887445,0.1220963995354239,0.1220963995354239
anybody,compound_anchor,C:any,full,family,none,idf_jaccard,0.9268928752024284,0.7099626827097741,0.2169301924926542,0.2169301924926542
anybody,compound_anchor,C:any,nonlocative,item,none,jaccard,0.7815811418872559,0.4041369243785648,0.377444217508691,0.377444217508691
anybody,compound_anchor,C:any,nonlocative,item,none,dice,0.6432312265405868,0.2615264241646027,0.3817048023759841,0.3817048023759841
anybody,compound_anchor,C:any,nonlocative,item,none,hamming,0.2416851441241685,0.0944510035419126,0.1472341405822558,0.1472341405822558
anybody,compound_anchor,C:any,nonlocative,item,none,idf_jaccard,0.9293076423447348,0.5961879065878937,0.333119735756841,0.333119735756841
anybody,compound_anchor,C:any,nonlocative,family,none,jaccard,0.7815811418872559,0.4500609094412151,0.3315202324460408,0.3315202324460408
anybody,compound_anchor,C:any,nonlocative,family,none,dice,0.6432312265405868,0.294085685848138,0.3491455406924488,0.3491455406924488
anybody,compound_anchor,C:any,nonlocative,family,none,hamming,0.2416851441241685,0.106060606060606,0.1356245380635624,0.1356245380635624
anybody,compound_anchor,C:any,nonlocative,family,none,idf_jaccard,0.929379414091132,0.6669045545725275,0.2624748595186045,0.2624748595186045
anyone,compound_anchor,C:any,full,item,none,jaccard,0.7815811418872559,0.4591554416953897,0.3224257001918661,0.3224257001918661
anyone,compound_anchor,C:any,full,item,none,dice,0.6432312265405868,0.3107403594506008,0.332490867089986,0.332490867089986
anyone,compound_anchor,C:any,full,item,none,hamming,0.2416851441241685,0.1073593073593073,0.1343258367648611,0.1343258367648611
anyone,compound_anchor,C:any,full,item,none,idf_jaccard,0.9251021427160832,0.635755957846751,0.2893461848693321,0.2893461848693321
anyone,compound_anchor,C:any,full,family,none,jaccard,0.7815811418872559,0.5045728035197974,0.2770083383674585,0.2770083383674585
