lemma,reference,quantity,observed,draws,strictly_below,tied,lower_tail_hits,percentile,percentile_mcse,lower_tail,zero_hit_probability_upper_95
each_other,fixed_total,d_pronoun,0.7088579692854637,20000,0,0,0,0.0,0.0,4.999750012499375e-05,0.00014977539622296285
each_other,fixed_total,d_compound,0.6690820933080995,20000,0,0,0,0.0,0.0,4.999750012499375e-05,0.00014977539622296285
each_other,fixed_total,delta,0.0397758759773642,20000,18012,0,18012,0.9006,0.0021157045659284555,0.9006049697515124,
each_other,within_block,d_pronoun,0.7088579692854637,20000,0,0,0,0.0,0.0,4.999750012499375e-05,0.00014977539622296285
each_other,within_block,d_compound,0.6690820933080995,20000,0,0,0,0.0,0.0,4.999750012499375e-05,0.00014977539622296285
each_other,within_block,delta,0.0397758759773642,20000,17685,0,17685,0.88425,0.002262267174238795,0.8842557872106395,
one_another,fixed_total,d_pronoun,0.7228114730155732,20000,0,0,0,0.0,0.0,4.999750012499375e-05,0.00014977539622296285
one_another,fixed_total,d_compound,0.6772670296559096,20000,0,0,0,0.0,0.0,4.999750012499375e-05,0.00014977539622296285
one_another,fixed_total,delta,0.0455444433596636,20000,18571,0,18571,0.92855,0.0018213760582420303,0.9285535723213839,
one_another,within_block,d_pronoun,0.7228114730155732,20000,0,0,0,0.0,0.0,4.999750012499375e-05,0.00014977539622296285
one_another,within_block,d_compound,0.6772670296559096,20000,0,0,0,0.0,0.0,4.999750012499375e-05,0.00014977539622296285
one_another,within_block,delta,0.0455444433596636,20000,18331,0,18331,0.91655,0.001955631892715239,0.9165541722913855,
