lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
anybody,compound_anchor,C:any,True,full,item,none,original_equal_feature,154,41,15,0.7815811418872559,0.4590281180386543,0.3225530238486016,0.3225530238486016
anybody,compound_anchor,C:any,True,full,family,none,original_equal_feature,154,41,12,0.7815811418872559,0.5044136489488781,0.2771674929383778,0.2771674929383778
anyone,compound_anchor,C:any,True,full,item,none,original_equal_feature,154,41,15,0.7815811418872559,0.4591554416953897,0.3224257001918661,0.3224257001918661
anyone,compound_anchor,C:any,True,full,family,none,original_equal_feature,154,41,12,0.7815811418872559,0.5045728035197974,0.2770083383674585,0.2770083383674585
anything,compound_anchor,C:any,True,full,item,none,original_equal_feature,154,41,15,0.7810744291535543,0.4709966142375717,0.3100778149159826,0.3100778149159826
anything,compound_anchor,C:any,True,full,family,none,original_equal_feature,154,41,12,0.7810744291535543,0.5019959163412309,0.2790785128123234,0.2790785128123234
anywhere,compound_anchor,C:any,True,full,item,none,original_equal_feature,154,41,15,0.8547436166810498,0.5504100141072689,0.3043336025737809,0.3043336025737809
anywhere,compound_anchor,C:any,True,full,family,none,original_equal_feature,154,41,12,0.8547436166810498,0.5822675681391365,0.2724760485419133,0.2724760485419133
everybody,compound_anchor,C:every,True,full,item,none,original_equal_feature,154,41,15,0.733660770843567,0.486750788332945,0.2469099825106219,0.2469099825106219
everybody,compound_anchor,C:every,True,full,family,none,original_equal_feature,154,41,12,0.733660770843567,0.5417937156464114,0.1918670551971555,0.1918670551971555
everyone,compound_anchor,C:every,True,full,item,none,original_equal_feature,154,41,15,0.733660770843567,0.4868468357974134,0.2468139350461535,0.2468139350461535
everyone,compound_anchor,C:every,True,full,family,none,original_equal_feature,154,41,12,0.733660770843567,0.541913774976997,0.1917469958665699,0.1917469958665699
everything,compound_anchor,C:every,True,full,item,none,original_equal_feature,154,41,15,0.7565489242797919,0.4680903516042834,0.2884585726755084,0.2884585726755084
