diagnostic,weighting,altered_dummy_it,holdout,lemma,role,features,d_pronoun,d_compound,delta
all,equal_feature,False,item,anybody,compound_anchor,154,0.7815811418872559,0.4590281180386543,0.3225530238486016
all,equal_feature,False,item,anyone,compound_anchor,154,0.7815811418872559,0.45915544169538974,0.32242570019186617
all,equal_feature,False,item,anything,compound_anchor,154,0.7810744291535544,0.4709966142375717,0.3100778149159827
all,equal_feature,False,item,anywhere,compound_anchor,154,0.8547436166810497,0.5504100141072689,0.30433360257378084
all,equal_feature,False,item,everybody,compound_anchor,154,0.7336607708435667,0.486750788332945,0.24690998251062174
all,equal_feature,False,item,everyone,compound_anchor,154,0.7336607708435667,0.4868468357974135,0.24681393504615323
all,equal_feature,False,item,everything,compound_anchor,154,0.7565489242797919,0.46809035160428347,0.28845857267550845
all,equal_feature,False,item,everywhere,compound_anchor,154,0.8135989693675667,0.5318057159475384,0.28179325342002826
all,equal_feature,False,item,nobody,compound_anchor,154,0.7705789558217473,0.43446184021559736,0.33611711560614993
all,equal_feature,False,item,no_one,compound_anchor,154,0.7754013003995375,0.44878906503418353,0.32661223536535394
all,equal_feature,False,item,nothing,compound_anchor,154,0.8067725810655891,0.4710623302535067,0.33571025081208244
all,equal_feature,False,item,nowhere,compound_anchor,154,0.8584330825097515,0.5444666072252279,0.3139664752845236
all,equal_feature,False,item,somebody,compound_anchor,154,0.7757050657521305,0.45134691345854333,0.32435815229358717
all,equal_feature,False,item,someone,compound_anchor,154,0.7757050657521305,0.45151268406786227,0.3241923816842682
all,equal_feature,False,item,something,compound_anchor,154,0.7901232554010195,0.4746465036050526,0.31547675179596685
all,equal_feature,False,item,somewhere,compound_anchor,154,0.8650968604783404,0.5701490339725636,0.2949478265057769
all,equal_feature,False,item,each_other,target,154,0.7088579692854635,0.6690820933080995,0.039775875977363984
all,equal_feature,False,item,one_another,target,154,0.7228114730155731,0.6772670296559097,0.045544443359663456
all,equal_feature,False,item,he,pronoun_anchor,154,0.5636031979318773,0.8092856407451141,-0.2456824428132368
all,equal_feature,False,item,him,pronoun_anchor,154,0.528090886571283,0.8057506137155528,-0.2776597271442698
all,equal_feature,False,item,himself,pronoun_anchor,154,0.554495971559321,0.7604470414613891,-0.20595106990206813
all,equal_feature,False,item,his,pronoun_anchor,154,0.4880424328803259,0.742109479495717,-0.25406704661539115
all,equal_feature,False,item,she,pronoun_anchor,154,0.5437060085442911,0.813962682945353,-0.27025667440106194
all,equal_feature,False,item,her_acc,pronoun_anchor,154,0.49301807027319733,0.7834820942999945,-0.29046402402679716
all,equal_feature,False,item,her_dep,pronoun_anchor,154,0.5812561284877116,0.833527924107552,-0.2522717956198405
