diagnostic,weighting,altered_dummy_it,holdout,controls_recovered,failures,pronoun_endpoint,pronoun_max,next_pronoun,next_pronoun_delta,compound_min,targets
all,equal_block_total,False,family,56,['it_dum'],it_dum,0.021559678758266032,they_sing,-0.10388833118685004,0.21603032070354256,"[{'lemma': 'each_other', 'd_pronoun': 0.753363309751842, 'd_compound': 0.6815694993430186, 'delta': 0.07179381040882338}, {'lemma': 'one_another', 'd_pronoun': 0.7601216628687412, 'd_compound': 0.6869940200268123, 'delta': 0.07312764284192885}]"
all,equal_block_total,False,item,56,['it_dum'],it_dum,0.017254673761724182,he,-0.12524841584718283,0.27253326480623874,"[{'lemma': 'each_other', 'd_pronoun': 0.753363309751842, 'd_compound': 0.6815694993430186, 'delta': 0.07179381040882338}, {'lemma': 'one_another', 'd_pronoun': 0.7601216628687412, 'd_compound': 0.6869940200268123, 'delta': 0.07312764284192885}]"
all,equal_block_total,True,family,56,['it_dum'],it_dum,0.02789135066417392,they_sing,-0.10521075359343268,0.2155653284193414,"[{'lemma': 'each_other', 'd_pronoun': 0.7537635018609803, 'd_compound': 0.6815694993430186, 'delta': 0.07219400251796171}, {'lemma': 'one_another', 'd_pronoun': 0.7604865574749536, 'd_compound': 0.6869940200268123, 'delta': 0.07349253744814133}]"
all,equal_block_total,True,item,56,['it_dum'],it_dum,0.023948282453593817,he,-0.12685093604989484,0.2720682725220376,"[{'lemma': 'each_other', 'd_pronoun': 0.7537635018609803, 'd_compound': 0.6815694993430186, 'delta': 0.07219400251796171}, {'lemma': 'one_another', 'd_pronoun': 0.7604865574749536, 'd_compound': 0.6869940200268123, 'delta': 0.07349253744814133}]"
all,equal_feature,False,family,57,[],it_dum,-0.03550448155958619,itself,-0.12805903106327354,0.19174699586656963,"[{'lemma': 'each_other', 'd_pronoun': 0.7088579692854635, 'd_compound': 0.6690820933080995, 'delta': 0.039775875977363984}, {'lemma': 'one_another', 'd_pronoun': 0.7228114730155731, 'd_compound': 0.6772670296559097, 'delta': 0.045544443359663456}]"
all,equal_feature,False,item,57,[],it_dum,-0.04299407694232049,itself,-0.1317315472947881,0.24681393504615323,"[{'lemma': 'each_other', 'd_pronoun': 0.7088579692854635, 'd_compound': 0.6690820933080995, 'delta': 0.039775875977363984}, {'lemma': 'one_another', 'd_pronoun': 0.7228114730155731, 'd_compound': 0.6772670296559097, 'delta': 0.045544443359663456}]"
all,equal_feature,True,family,57,[],it_dum,-0.029014676620764623,itself,-0.12805903106327354,0.19125326623291705,"[{'lemma': 'each_other', 'd_pronoun': 0.7092920559400119, 'd_compound': 0.6690820933080995, 'delta': 0.040209962631912344}, {'lemma': 'one_another', 'd_pronoun': 0.7231929431059338, 'd_compound': 0.6772670296559097, 'delta': 0.04592591345002417}]"
all,equal_feature,True,item,57,[],it_dum,-0.03637599829693361,itself,-0.13127198847125865,0.24632020541250066,"[{'lemma': 'each_other', 'd_pronoun': 0.7092920559400119, 'd_compound': 0.6690820933080995, 'delta': 0.040209962631912344}, {'lemma': 'one_another', 'd_pronoun': 0.7231929431059338, 'd_compound': 0.6772670296559097, 'delta': 0.04592591345002417}]"
no_components,equal_feature,False,family,57,[],it_dum,-0.030347811118239254,itself,-0.12958331815187563,0.22208719263382787,"[{'lemma': 'each_other', 'd_pronoun': 0.6803808378816427, 'd_compound': 0.6243745568368413, 'delta': 0.05600628104480143}, {'lemma': 'one_another', 'd_pronoun': 0.6803808378816427, 'd_compound': 0.6243745568368413, 'delta': 0.05600628104480143}]"
no_components,equal_feature,False,item,57,[],it_dum,-0.035721045405633034,itself,-0.13037297442517315,0.27208289928394636,"[{'lemma': 'each_other', 'd_pronoun': 0.6803808378816427, 'd_compound': 0.6243745568368413, 'delta': 0.05600628104480143}, {'lemma': 'one_another', 'd_pronoun': 0.6803808378816427, 'd_compound': 0.6243745568368413, 'delta': 0.05600628104480143}]"
no_morph,equal_block_total,False,family,56,['it_dum'],it_dum,0.02044842489151144,they_sing,-0.048640590561514485,0.1907818326355719,"[{'lemma': 'each_other', 'd_pronoun': 0.7248166149678301, 'd_compound': 0.7061545503014847, 'delta': 0.018662064666345457}, {'lemma': 'one_another', 'd_pronoun': 0.7248166149678301, 'd_compound': 0.7061545503014847, 'delta': 0.018662064666345457}]"
no_morph,equal_block_total,False,item,56,['it_dum'],it_dum,0.01660494759246156,he,-0.07015107869362636,0.24703488859330136,"[{'lemma': 'each_other', 'd_pronoun': 0.7248166149678301, 'd_compound': 0.7061545503014847, 'delta': 0.018662064666345457}, {'lemma': 'one_another', 'd_pronoun': 0.7248166149678301, 'd_compound': 0.7061545503014847, 'delta': 0.018662064666345457}]"
no_morph,equal_block_total,True,family,56,['it_dum'],it_dum,0.027985244781801977,they_sing,-0.05027161629547605,0.19021249178101907,"[{'lemma': 'each_other', 'd_pronoun': 0.72534809156638, 'd_compound': 0.7061545503014847, 'delta': 0.019193541264895364}, {'lemma': 'one_another', 'd_pronoun': 0.72534809156638, 'd_compound': 0.7061545503014847, 'delta': 0.019193541264895364}]"
no_morph,equal_block_total,True,item,56,['it_dum'],it_dum,0.024670030058506875,he,-0.07221057526113206,0.2464655477387485,"[{'lemma': 'each_other', 'd_pronoun': 0.72534809156638, 'd_compound': 0.7061545503014847, 'delta': 0.019193541264895364}, {'lemma': 'one_another', 'd_pronoun': 0.72534809156638, 'd_compound': 0.7061545503014847, 'delta': 0.019193541264895364}]"
no_morph,equal_feature,False,family,57,[],it_dum,-0.06692829446812099,their_plur,-0.15980833234096825,0.13237740967905365,"[{'lemma': 'each_other', 'd_pronoun': 0.6275402401733168, 'd_compound': 0.7039489084330575, 'delta': -0.07640866825974069}, {'lemma': 'one_another', 'd_pronoun': 0.6275402401733168, 'd_compound': 0.7039489084330575, 'delta': -0.07640866825974069}]"
no_morph,equal_feature,False,item,57,[],it_dum,-0.07457851680489425,its,-0.16725016470762066,0.18649923385197625,"[{'lemma': 'each_other', 'd_pronoun': 0.6275402401733168, 'd_compound': 0.7039489084330575, 'delta': -0.07640866825974069}, {'lemma': 'one_another', 'd_pronoun': 0.6275402401733168, 'd_compound': 0.7039489084330575, 'delta': -0.07640866825974069}]"
