pool,holdout,drop,metric,pronoun_endpoint,pronoun_max,next_pronoun,next_pronoun_delta,failures,targets
full,family,morph,dice,it_dum,-0.0856549363289967,itself,-0.1611891987213452,[],"[{'lemma': 'each_other', 'delta': -0.0833096035175095}, {'lemma': 'one_another', 'delta': -0.0833096035175095}]"
full,family,morph,hamming,it_dum,-0.0101541147889462,they_sing,-0.0518530264588619,[],"[{'lemma': 'each_other', 'delta': -0.0203994244998629}, {'lemma': 'one_another', 'delta': -0.0203994244998629}]"
full,family,morph,idf_jaccard,it_dum,-0.0210372847266523,its,-0.1066722683726236,[],"[{'lemma': 'each_other', 'delta': -0.0397289048432883}, {'lemma': 'one_another', 'delta': -0.0397289048432883}]"
full,family,morph,jaccard,it_dum,-0.0669282944681209,their_plur,-0.159808332340968,[],"[{'lemma': 'each_other', 'delta': -0.0764086682597408}, {'lemma': 'one_another', 'delta': -0.0764086682597408}]"
full,family,none,dice,it_dum,-0.0461565851937795,itself,-0.1283615686525429,[],"[{'lemma': 'each_other', 'delta': 0.0482520695214281}, {'lemma': 'one_another', 'delta': 0.0549995810877577}]"
full,family,none,hamming,it_dum,0.0104861354861354,itself,-0.0268734643734644,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0330218561925878}, {'lemma': 'one_another', 'delta': 0.0362686094393411}]"
full,family,none,idf_jaccard,it_dum,-0.0069748871273771,itself,-0.0631324827859803,[],"[{'lemma': 'each_other', 'delta': 0.0350402621334876}, {'lemma': 'one_another', 'delta': 0.0465589496082586}]"
full,family,none,jaccard,it_dum,-0.0355044815595858,itself,-0.1280590310632736,[],"[{'lemma': 'each_other', 'delta': 0.0397758759773642}, {'lemma': 'one_another', 'delta': 0.0455444433596636}]"
full,family,phon,dice,it_dum,-0.0541186477884678,itself,-0.1171877104408019,[],"[{'lemma': 'each_other', 'delta': 0.0398214706489885}, {'lemma': 'one_another', 'delta': 0.0471814127014014}]"
full,family,phon,hamming,it_dum,0.0046089135493109,itself,-0.0249015571863253,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0277015021805847}, {'lemma': 'one_another', 'delta': 0.0310127604587303}]"
full,family,phon,idf_jaccard,it_dum,-0.0093847027794194,itself,-0.0540134982757343,[],"[{'lemma': 'each_other', 'delta': 0.0326733683833081}, {'lemma': 'one_another', 'delta': 0.044808197142363}]"
full,family,phon,jaccard,it_dum,-0.0418392514448082,itself,-0.1180087890391612,[],"[{'lemma': 'each_other', 'delta': 0.0322300913334905}, {'lemma': 'one_another', 'delta': 0.0387212001777128}]"
full,family,sem,dice,it_dum,-0.0530138482051729,itself,-0.1509793758215571,[],"[{'lemma': 'each_other', 'delta': 0.2198423775013826}, {'lemma': 'one_another', 'delta': 0.220334011298714}]"
full,family,sem,hamming,it_dum,0.0105502748511222,itself,-0.0265832569857993,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0778084952459694}, {'lemma': 'one_another', 'delta': 0.0820457833815626}]"
full,family,sem,idf_jaccard,it_dum,-0.0265435878924541,itself,-0.0831446895951787,[],"[{'lemma': 'each_other', 'delta': 0.1009254477276652}, {'lemma': 'one_another', 'delta': 0.1046450139058629}]"
full,family,sem,jaccard,it_dum,-0.0410723315044915,itself,-0.1516416332538421,[],"[{'lemma': 'each_other', 'delta': 0.1734350661593181}, {'lemma': 'one_another', 'delta': 0.1717785814251597}]"
full,family,synt,dice,it_dum,0.0097809769512362,itself,-0.0895673016970545,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0405532506274427}, {'lemma': 'one_another', 'delta': 0.0498193004170413}]"
