lemma,role,eligible_control,family,pool,holdout,drop,metric,reference,features,ones,n_pronoun,n_compound,draws,d_pronoun,d_pronoun_percentile,d_pronoun_percentile_mcse,d_pronoun_lower_tail,d_pronoun_null_q025,d_pronoun_null_median,d_pronoun_null_q975,d_compound,d_compound_percentile,d_compound_percentile_mcse,d_compound_lower_tail,d_compound_null_q025,d_compound_null_median,d_compound_null_q975,delta,delta_percentile,delta_percentile_mcse,delta_lower_tail,delta_null_q025,delta_null_median,delta_null_q975
anybody,compound_anchor,True,C:any,full,item,none,jaccard,fixed_total,154,27,41,15,20000,0.7815811418872559,0.00025,0.0001117922174169282,0.0002999850007499625,0.8344824787822108,0.8975991934350585,0.9479246366663083,0.4590281180386543,0.0,0.0,4.999750012499375e-05,0.833752504238725,0.9055571202578268,0.9602584538544823,0.3225530238486016,1.0,0.0,1.0,-0.07563865786019165,-0.007547514784138343,0.06404545149025587
anybody,compound_anchor,True,C:any,full,item,none,dice,fixed_total,154,27,41,15,20000,0.6432312265405868,0.00025,0.0001117922174169282,0.0002999850007499625,0.7175286003145328,0.8156524822935394,0.9021057378109036,0.31069546607237414,0.0,0.0,4.999750012499375e-05,0.71614544918489,0.8283689678274682,0.9241889559021933,0.3325357604682127,1.0,0.0,1.0,-0.12523543336473197,-0.012234518001953243,0.10376944529429026
anybody,compound_anchor,True,C:any,full,item,none,hamming,fixed_total,154,27,41,15,20000,0.2416851441241685,0.00025,0.0001117922174169282,0.0002999850007499625,0.26987646499841617,0.3069369654735508,0.33956287614824204,0.10735930735930735,0.0,0.0,4.999750012499375e-05,0.24935064935064938,0.2891774891774891,0.3220779220779221,0.13432583676486115,1.0,0.0,1.0,-0.022363530778164862,0.018414106218984372,0.060014781966001574
anybody,compound_anchor,True,C:any,full,item,none,idf_jaccard,fixed_total,154,27,41,15,20000,0.9251021427160832,0.0437,0.0014455517911853072,0.04374781260936953,0.9208508475265244,0.9498860432885756,0.971537293716085,0.6350805091707427,0.0,0.0,4.999750012499375e-05,0.8978839644070284,0.9443147591125883,0.9766176844565669,0.2900216335453405,1.0,0.0,1.0,-0.03696786293204122,0.005621872075700862,0.054087602818519195
anybody,compound_anchor,True,C:any,full,family,none,jaccard,fixed_total,154,27,41,12,20000,0.7815811418872559,0.00025,0.0001117922174169282,0.0002999850007499625,0.8344824787822108,0.8975991934350585,0.9479246366663083,0.5044136489488781,0.0,0.0,4.999750012499375e-05,0.8323165663262485,0.9055149393541511,0.9613915473562672,0.27716749293837784,1.0,0.0,1.0,-0.07635653386861316,-0.007782919193435489,0.06480050032898345
anybody,compound_anchor,True,C:any,full,family,none,dice,fixed_total,154,27,41,12,20000,0.6432312265405868,0.00025,0.0001117922174169282,0.0002999850007499625,0.7175286003145328,0.8156524822935394,0.9021057378109036,0.3458677081590187,0.0,0.0,4.999750012499375e-05,0.7145064776382671,0.8282599773287213,0.9262226697331252,0.29736351838156816,1.0,0.0,1.0,-0.12616783776160598,-0.012463833004980995,0.1043697438147703
anybody,compound_anchor,True,C:any,full,family,none,hamming,fixed_total,154,27,41,12,20000,0.2416851441241685,0.00025,0.0001117922174169282,0.0002999850007499625,0.26987646499841617,0.3069369654735508,0.33956287614824204,0.11958874458874459,0.0,0.0,4.999750012499375e-05,0.2494588744588744,0.2884199134199134,0.32305194805194803,0.12209639953542391,1.0,0.0,1.0,-0.022873112659697922,0.018253088375039667,0.06001280223841197
anybody,compound_anchor,True,C:any,full,family,none,idf_jaccard,fixed_total,154,27,41,12,20000,0.9268928752024284,0.04205,0.0014192218235812278,0.04209789510524474,0.9228538045914171,0.9511730240028577,0.9721205580176224,0.7099626827097741,0.0,0.0,4.999750012499375e-05,0.8933676668058811,0.9432623433182128,0.9783456930613145,0.21693019249265422,1.0,0.0,1.0,-0.03624597928051074,0.0077603648023107374,0.06011085217776932
anybody,compound_anchor,True,C:any,nonlocative,item,none,jaccard,fixed_total,154,27,41,11,20000,0.7815811418872559,0.00025,0.0001117922174169282,0.0002999850007499625,0.8344824787822108,0.8975991934350585,0.9479246366663083,0.40413692437856485,0.0,0.0,4.999750012499375e-05,0.8274150252269606,0.9023664601815863,0.9604368890613122,0.37744421750869106,1.0,0.0,1.0,-0.0731860845528786,-0.0044410085964249335,0.06799497996384105
anybody,compound_anchor,True,C:any,nonlocative,item,none,dice,fixed_total,154,27,41,11,20000,0.6432312265405868,0.00025,0.0001117922174169282,0.0002999850007499625,0.7175286003145328,0.8156524822935394,0.9021057378109036,0.2615264241646027,0.0,0.0,4.999750012499375e-05,0.7065906708509003,0.8227197802350418,0.9244035795640316,0.38170480237598414,1.0,0.0,1.0,-0.1196574174818103,-0.006710994414709348,0.10942230592660686
