lemma,feature,operation,metric,d_pronoun,d_compound,delta
each_other,a,delete_feature,jaccard,0.7088579692854635,0.6690820933080995,0.039775875977363984
each_other,a,delete_feature,dice,0.5543180561680126,0.5060659866465846,0.04825206952142791
each_other,a,delete_feature,hamming,0.19336840427227803,0.16013071895424835,0.033237685318029675
each_other,a,delete_feature,idf_jaccard,0.9065881850760772,0.8715479229425895,0.035040262133487654
each_other,a,reverse_polarity,jaccard,0.6919084565639839,0.6512547842159477,0.040653672348036185
each_other,a,reverse_polarity,dice,0.5340022317732216,0.4858925522768215,0.048109679496400104
each_other,a,reverse_polarity,hamming,0.192112765283497,0.1590909090909091,0.033021856192587906
each_other,a,reverse_polarity,idf_jaccard,0.9065881850760772,0.8715479229425895,0.035040262133487654
each_other,a,flip_target_cell,jaccard,0.7160086863016198,0.6778924551507237,0.03811623115089613
each_other,a,flip_target_cell,dice,0.5627158052034411,0.5159672984922148,0.04674850671122632
each_other,a,flip_target_cell,hamming,0.19860627177700346,0.16558441558441558,0.03302185619258788
each_other,a,flip_target_cell,idf_jaccard,0.91469222970836,0.8820563184518071,0.03263591125655285
each_other,another,delete_feature,jaccard,0.7088579692854635,0.6690820933080995,0.039775875977363984
each_other,another,delete_feature,dice,0.5543180561680126,0.5060659866465846,0.04825206952142791
each_other,another,delete_feature,hamming,0.19336840427227803,0.16013071895424835,0.033237685318029675
each_other,another,delete_feature,idf_jaccard,0.9065881850760772,0.8715479229425895,0.035040262133487654
each_other,another,reverse_polarity,jaccard,0.6919084565639839,0.6512547842159477,0.040653672348036185
each_other,another,reverse_polarity,dice,0.5340022317732216,0.4858925522768215,0.048109679496400104
each_other,another,reverse_polarity,hamming,0.192112765283497,0.1590909090909091,0.033021856192587906
each_other,another,reverse_polarity,idf_jaccard,0.9065881850760772,0.8715479229425895,0.035040262133487654
each_other,another,flip_target_cell,jaccard,0.7160086863016198,0.6778924551507237,0.03811623115089613
each_other,another,flip_target_cell,dice,0.5627158052034411,0.5159672984922148,0.04674850671122632
