pool,holdout,drop,metric,controls_correct,n_controls,p_max,c_min,both_targets_in_gap
full,family,morph,dice,57,57,-0.08565493632899679,0.13656631917806217,True
full,family,morph,hamming,57,57,-0.010154114788946234,0.07929112998995147,False
full,family,morph,idf_jaccard,57,57,-0.02103728472665234,0.15171749023303094,False
full,family,morph,jaccard,57,57,-0.06692829446812099,0.13237740967905365,False
full,family,none,dice,57,57,-0.04615658519377952,0.20493770816154383,True
full,family,none,hamming,56,57,0.010486135486135417,0.09482895153626864,True
full,family,none,idf_jaccard,57,57,-0.0069748871273771496,0.1666572095918537,True
full,family,none,jaccard,57,57,-0.035504481559585854,0.19174699586656996,True
full,family,phon,dice,57,57,-0.054118647788467866,0.19856465802770745,True
full,family,phon,hamming,56,57,0.004608913549310922,0.09073655306089476,True
full,family,phon,idf_jaccard,57,57,-0.009384702779419496,0.16487690802046495,True
full,family,phon,jaccard,57,57,-0.04183925144480827,0.18642261532823967,True
full,family,sem,dice,57,57,-0.053013848205172964,0.3204933369943213,True
full,family,sem,hamming,56,57,0.010550274851122282,0.11376946396582611,True
full,family,sem,idf_jaccard,57,57,-0.026543587892454146,0.22683123983650733,True
full,family,sem,jaccard,57,57,-0.04107233150449152,0.30044288821432263,True
full,family,synt,dice,56,57,0.009780976951236253,0.16520726766781352,True
full,family,synt,hamming,56,57,0.03660992723492726,0.08081222639149463,False
full,family,synt,idf_jaccard,56,57,0.022668217649347233,0.10296448449847095,True
full,family,synt,jaccard,56,57,0.0061628204456193325,0.14651877569973482,True
full,item,morph,dice,57,57,-0.09479847166201139,0.17729463224818942,True
full,item,morph,hamming,57,57,-0.015308988764044962,0.09876678542066311,False
full,item,morph,idf_jaccard,57,57,-0.03393361524801941,0.22224163561808796,False
full,item,morph,jaccard,57,57,-0.07457851680489436,0.18649923385197625,False
full,item,none,dice,57,57,-0.055464884203233145,0.24778207564965377,True
full,item,none,hamming,56,57,0.006168831168831074,0.10987224157955867,True
full,item,none,idf_jaccard,57,57,-0.02077547909441735,0.24360806369868704,True
full,item,none,jaccard,57,57,-0.042994076942319936,0.2468139350461535,True
full,item,phon,dice,57,57,-0.06376950279912841,0.2414090255158174,True
full,item,phon,hamming,56,57,0.00016556291390729116,0.10607871641630315,True
full,item,phon,idf_jaccard,57,57,-0.02352868004642039,0.24151895912487797,True
full,item,phon,jaccard,57,57,-0.04970045463341177,0.24148955450782322,True
full,item,sem,dice,57,57,-0.05905682333716877,0.347897955666546,True
full,item,sem,hamming,56,57,0.007097457627118553,0.11758302328786001,True
full,item,sem,idf_jaccard,57,57,-0.03650885981334184,0.2621096261726076,True
full,item,sem,jaccard,57,57,-0.045556878886546914,0.31362711788231,True
full,item,synt,dice,57,57,-0.002246041487403816,0.22032704945149473,True
full,item,synt,hamming,56,57,0.03221153846153846,0.09571607254534077,True
full,item,synt,idf_jaccard,56,57,0.006233406026733279,0.19569664359622496,True
full,item,synt,jaccard,57,57,-0.003339285448136442,0.21066424174737486,True
nonlocative,family,morph,dice,53,53,-0.07671472385790035,0.1908467016403838,True
nonlocative,family,morph,hamming,53,53,-0.01647433950804733,0.09926616120093776,True
nonlocative,family,morph,idf_jaccard,53,53,-0.019048058159161774,0.20752291819292012,False
nonlocative,family,morph,jaccard,53,53,-0.06052688220620139,0.18609626085167286,True
nonlocative,family,none,dice,53,53,-0.0322435622982703,0.2553258156425616,True
nonlocative,family,none,hamming,52,53,0.007780507780507734,0.10871784042515753,True
nonlocative,family,none,idf_jaccard,53,53,-0.00029277375539815687,0.2112188746933792,True
nonlocative,family,none,jaccard,53,53,-0.025723728970011406,0.24176190945390547,True
nonlocative,family,phon,dice,53,53,-0.04020562489295865,0.24895276550872525,True
nonlocative,family,phon,hamming,52,53,0.0018495316508561621,0.1049013801396291,True
nonlocative,family,phon,idf_jaccard,53,53,-0.002335356572041092,0.20961051770534267,True
nonlocative,family,phon,jaccard,53,53,-0.03205849885523382,0.23643752891557518,True
nonlocative,family,sem,dice,53,53,-0.017383857517363377,0.3611184826087197,True
nonlocative,family,sem,hamming,52,53,0.010020613834173159,0.13237793394883102,True
nonlocative,family,sem,idf_jaccard,53,53,-0.014859673162792242,0.286682773793007,True
nonlocative,family,sem,jaccard,53,53,-0.01694974476558142,0.3449071174007741,True
nonlocative,family,synt,dice,52,53,0.0074244187885186275,0.21931046360568673,True
nonlocative,family,synt,hamming,52,53,0.03460672210672211,0.09550239733166555,True
nonlocative,family,synt,idf_jaccard,52,53,0.02974376284877056,0.1364821076006436,True
nonlocative,family,synt,jaccard,52,53,0.0044985704761633105,0.19527745462145718,True
nonlocative,item,morph,dice,53,53,-0.08585825919091494,0.23409442434547084,True
nonlocative,item,morph,hamming,53,53,-0.02162921348314606,0.12083011534916155,True
