feature,block,presences,interpretation
a,morph,8,"1 = may exhibit the property; 0 = never does, in the source coding"
another,morph,3,"1 = may exhibit the property; 0 = never does, in the source coding"
any,morph,5,"1 = may exhibit the property; 0 = never does, in the source coding"
body,morph,4,"1 = may exhibit the property; 0 = never does, in the source coding"
certain,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
day,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
each,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
either,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
ever,morph,14,"1 = may exhibit the property; 0 = never does, in the source coding"
every,morph,5,"1 = may exhibit the property; 0 = never does, in the source coding"
few,morph,4,"1 = may exhibit the property; 0 = never does, in the source coding"
her,morph,4,"1 = may exhibit the property; 0 = never does, in the source coding"
him,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
it,morph,4,"1 = may exhibit the property; 0 = never does, in the source coding"
its,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
little,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
many,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
many_a,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
my,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
no,morph,6,"1 = may exhibit the property; 0 = never does, in the source coding"
no_one,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
one,morph,11,"1 = may exhibit the property; 0 = never does, in the source coding"
one_s,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
other,morph,3,"1 = may exhibit the property; 0 = never does, in the source coding"
our,morph,3,"1 = may exhibit the property; 0 = never does, in the source coding"
ours,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
self,morph,10,"1 = may exhibit the property; 0 = never does, in the source coding"
some,morph,6,"1 = may exhibit the property; 0 = never does, in the source coding"
their,morph,4,"1 = may exhibit the property; 0 = never does, in the source coding"
theirs,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
them,morph,4,"1 = may exhibit the property; 0 = never does, in the source coding"
they,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
thing,morph,4,"1 = may exhibit the property; 0 = never does, in the source coding"
to,morph,3,"1 = may exhibit the property; 0 = never does, in the source coding"
us,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
we,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
what,morph,5,"1 = may exhibit the property; 0 = never does, in the source coding"
whatever,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
where,morph,4,"1 = may exhibit the property; 0 = never does, in the source coding"
which,morph,5,"1 = may exhibit the property; 0 = never does, in the source coding"
whichever,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
who,morph,11,"1 = may exhibit the property; 0 = never does, in the source coding"
whoever,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
whom,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
whose,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
whosoever,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
you,morph,9,"1 = may exhibit the property; 0 = never does, in the source coding"
your,morph,6,"1 = may exhibit the property; 0 = never does, in the source coding"
yours,morph,2,"1 = may exhibit the property; 0 = never does, in the source coding"
genitive_case,morph,22,"1 = may exhibit the property; 0 = never does, in the source coding"
accusative_case,morph,11,"1 = may exhibit the property; 0 = never does, in the source coding"
nominative_case,morph,11,"1 = may exhibit the property; 0 = never does, in the source coding"
in_word_formation_e_g_a_many_sided_shape,morph,29,"1 = may exhibit the property; 0 = never does, in the source coding"
has_derivationtionally_related_words,morph,79,"1 = may exhibit the property; 0 = never does, in the source coding"
has_corresponding_word,morph,38,"1 = may exhibit the property; 0 = never does, in the source coding"
compound_word,morph,48,"1 = may exhibit the property; 0 = never does, in the source coding"
inflects_for_case,morph,75,"1 = may exhibit the property; 0 = never does, in the source coding"
paradigm_has_distinct_acc_form,morph,41,"1 = may exhibit the property; 0 = never does, in the source coding"
paradigm_has_genitive_form,morph,52,"1 = may exhibit the property; 0 = never does, in the source coding"
paradigm_has_distinct_independent_genitive_form,morph,33,"1 = may exhibit the property; 0 = never does, in the source coding"
paradigm_has_distinct_self_form,morph,43,"1 = may exhibit the property; 0 = never does, in the source coding"
paradigm_has_comparative_and_superlative_forms,morph,10,"1 = may exhibit the property; 0 = never does, in the source coding"
paradigm_has_distinct_plural_form,morph,22,"1 = may exhibit the property; 0 = never does, in the source coding"
does_not_inflect,morph,62,"1 = may exhibit the property; 0 = never does, in the source coding"
Monmorphemic,morph,70,"1 = may exhibit the property; 0 = never does, in the source coding"
Must_be_stressed_as_object_after_particle,phon,40,"1 = may exhibit the property; 0 = never does, in the source coding"
Start_with_th,phon,17,"1 = may exhibit the property; 0 = never does, in the source coding"
Start_with_hw,phon,9,"1 = may exhibit the property; 0 = never does, in the source coding"
anaphoric_marker,sem,89,"1 = may exhibit the property; 0 = never does, in the source coding"
deictic_marker,sem,35,"1 = may exhibit the property; 0 = never does, in the source coding"
person_deixis,sem,30,"1 = may exhibit the property; 0 = never does, in the source coding"
pro_form,sem,64,"1 = may exhibit the property; 0 = never does, in the source coding"
personal_gender_as_head_or_fused_head,sem,55,"1 = may exhibit the property; 0 = never does, in the source coding"
non_personal_gender,sem,32,"1 = may exhibit the property; 0 = never does, in the source coding"
epicene_personal_gender,sem,42,"1 = may exhibit the property; 0 = never does, in the source coding"
masculine_gender,sem,4,"1 = may exhibit the property; 0 = never does, in the source coding"
feminine_gender,sem,5,"1 = may exhibit the property; 0 = never does, in the source coding"
definite,sem,71,"1 = may exhibit the property; 0 = never does, in the source coding"
indefinite,sem,72,"1 = may exhibit the property; 0 = never does, in the source coding"
existential,sem,116,"1 = may exhibit the property; 0 = never does, in the source coding"
universal,sem,8,"1 = may exhibit the property; 0 = never does, in the source coding"
free_choice,sem,23,"1 = may exhibit the property; 0 = never does, in the source coding"
negative,sem,13,"1 = may exhibit the property; 0 = never does, in the source coding"
interrogative,sem,16,"1 = may exhibit the property; 0 = never does, in the source coding"
non_affirmative,sem,23,"1 = may exhibit the property; 0 = never does, in the source coding"
reflexive,sem,9,"1 = may exhibit the property; 0 = never does, in the source coding"
reciprocal,sem,2,"1 = may exhibit the property; 0 = never does, in the source coding"
dual,sem,5,"1 = may exhibit the property; 0 = never does, in the source coding"
paucal,sem,12,"1 = may exhibit the property; 0 = never does, in the source coding"
multal,sem,4,"1 = may exhibit the property; 0 = never does, in the source coding"
proportional,sem,39,"1 = may exhibit the property; 0 = never does, in the source coding"
semantically_countable,sem,106,"1 = may exhibit the property; 0 = never does, in the source coding"
semantically_uncountable,sem,40,"1 = may exhibit the property; 0 = never does, in the source coding"
semantically_singular,sem,84,"1 = may exhibit the property; 0 = never does, in the source coding"
semantically_plural,sem,70,"1 = may exhibit the property; 0 = never does, in the source coding"
distributive,sem,73,"1 = may exhibit the property; 0 = never does, in the source coding"
joint,sem,69,"1 = may exhibit the property; 0 = never does, in the source coding"
cardinal,sem,4,"1 = may exhibit the property; 0 = never does, in the source coding"
disjunctive,sem,2,"1 = may exhibit the property; 0 = never does, in the source coding"
degree,sem,10,"1 = may exhibit the property; 0 = never does, in the source coding"
sufficiency,sem,2,"1 = may exhibit the property; 0 = never does, in the source coding"
temporal,sem,9,"1 = may exhibit the property; 0 = never does, in the source coding"
locative,sem,4,"1 = may exhibit the property; 0 = never does, in the source coding"
dummy,sem,2,"1 = may exhibit the property; 0 = never does, in the source coding"
can_be_followed_by_adjective_such,synt,32,"1 = may exhibit the property; 0 = never does, in the source coding"
can_be_modified_by_almost,synt,46,"1 = may exhibit the property; 0 = never does, in the source coding"
can_be_modified_by_approximately,synt,16,"1 = may exhibit the property; 0 = never does, in the source coding"
can_be_modified_by_at_least,synt,63,"1 = may exhibit the property; 0 = never does, in the source coding"
can_be_modified_by_hardly,synt,30,"1 = may exhibit the property; 0 = never does, in the source coding"
can_be_modified_by_not,synt,35,"1 = may exhibit the property; 0 = never does, in the source coding"
can_be_modified_by_adverb_very,synt,4,"1 = may exhibit the property; 0 = never does, in the source coding"
Coordinates_with_independent_genitives,synt,51,"1 = may exhibit the property; 0 = never does, in the source coding"
