lemma,role,eligible_control,family,pool,holdout,drop,metric,reference,features,ones,n_pronoun,n_compound,draws,d_pronoun,d_pronoun_percentile,d_pronoun_percentile_mcse,d_pronoun_lower_tail,d_pronoun_null_q025,d_pronoun_null_median,d_pronoun_null_q975,d_compound,d_compound_percentile,d_compound_percentile_mcse,d_compound_lower_tail,d_compound_null_q025,d_compound_null_median,d_compound_null_q975,delta,delta_percentile,delta_percentile_mcse,delta_lower_tail,delta_null_q025,delta_null_median,delta_null_q975
anybody,compound_anchor,True,C:any,full,item,none,jaccard,fixed_total,154,27,41,15,20000,0.7815811418872559,0.00025,0.0001117922174169282,0.0002999850007499625,0.8344824787822108,0.8975991934350585,0.9479246366663083,0.4590281180386543,0.0,0.0,4.999750012499375e-05,0.833752504238725,0.9055571202578268,0.9602584538544823,0.3225530238486016,1.0,0.0,1.0,-0.07563865786019165,-0.007547514784138343,0.06404545149025587
anyone,compound_anchor,True,C:any,full,item,none,jaccard,fixed_total,154,27,41,15,20000,0.7815811418872559,0.00035,0.00013226771993758295,0.00039998000099995,0.8331515209707662,0.8980689135885291,0.9479862277697425,0.45915544169538974,0.0,0.0,4.999750012499375e-05,0.8352559176252412,0.9054026931940984,0.9592714861187915,0.32242570019186617,1.0,0.0,1.0,-0.07609483875848479,-0.007152900379326421,0.062267651936121965
anything,compound_anchor,True,C:any,full,item,none,jaccard,fixed_total,154,30,41,15,20000,0.7810744291535543,0.0006,0.00017315744042621658,0.0006499675016249188,0.82734887089933,0.89151096164422,0.9414973196873718,0.4709966142375717,0.0,0.0,4.999750012499375e-05,0.8297564668824112,0.9004475045004446,0.9544946034432991,0.3100778149159826,1.0,0.0,1.0,-0.07731380293915999,-0.008705003267774292,0.06226295465278636
anywhere,compound_anchor,True,C:any,full,item,none,jaccard,fixed_total,154,23,41,15,20000,0.8547436166810498,0.0481,0.0015130875624690674,0.04814759262036898,0.8442846142327387,0.9077905736160305,0.9564956980037167,0.5504100141072689,0.0,0.0,4.999750012499375e-05,0.8428701613707879,0.9132875144393887,0.9669880339666745,0.30433360257378095,1.0,0.0,1.0,-0.07468913800664947,-0.005709891993101512,0.06408744304713561
everybody,compound_anchor,True,C:every,full,item,none,jaccard,fixed_total,154,31,41,15,20000,0.733660770843567,5e-05,4.9999999999999996e-05,9.99950002499875e-05,0.8254865974467094,0.8886188495870866,0.9393065640963159,0.486750788332945,0.0,0.0,4.999750012499375e-05,0.8289912677415966,0.8985783221240412,0.9537958691345109,0.24690998251062196,1.0,0.0,1.0,-0.0772655110748976,-0.009675251537703489,0.06073664472050784
everyone,compound_anchor,True,C:every,full,item,none,jaccard,fixed_total,154,31,41,15,20000,0.733660770843567,0.0,0.0,4.999750012499375e-05,0.8268528229343858,0.8899033610726665,0.9398321849263648,0.48684683579741345,0.0,0.0,4.999750012499375e-05,0.8273946140158143,0.8990368845749916,0.9533328882635972,0.2468139350461535,1.0,0.0,1.0,-0.07729917707229382,-0.009077715746867832,0.06162886672762838
everything,compound_anchor,True,C:every,full,item,none,jaccard,fixed_total,154,31,41,15,20000,0.7565489242797919,0.0003,0.00012245917610571543,0.00034998250087495624,0.8268684812888473,0.8890051536149527,0.939228713537752,0.46809035160428347,0.0,0.0,4.999750012499375e-05,0.8276842726111768,0.8986533852356561,0.9529941095702908,0.28845857267550845,1.0,0.0,1.0,-0.07794636926214078,-0.008980349542263566,0.06144468147587136
everywhere,compound_anchor,True,C:every,full,item,none,jaccard,fixed_total,154,26,41,15,20000,0.8135989693675669,0.0045,0.0004732850092016404,0.004549772511374431,0.8361663488116229,0.9002708433668078,0.9499442880262232,0.5318057159475386,0.0,0.0,4.999750012499375e-05,0.8357931418696628,0.9078355162529437,0.9618310176553485,0.28179325342002837,1.0,0.0,1.0,-0.07647345133376467,-0.006955691466038139,0.06316838270840093
nobody,compound_anchor,True,C:no,full,item,none,jaccard,fixed_total,154,27,41,15,20000,0.7705789558217474,0.00015,8.659820992663834e-05,0.000199990000499975,0.8333303129487761,0.8977220945979703,0.9474423038532839,0.4344618402155974,0.0,0.0,4.999750012499375e-05,0.8345115476363957,0.9054021708436684,0.9597654434123974,0.33611711560615,1.0,0.0,1.0,-0.0760322970338463,-0.00767370391904959,0.06218402718962291
no_one,compound_anchor,True,C:no,full,item,none,jaccard,fixed_total,154,28,41,15,20000,0.7754013003995375,0.00035,0.00013226771993758295,0.00039998000099995,0.8319249621565536,0.8957655588500046,0.9462535684015041,0.44878906503418353,0.0,0.0,4.999750012499375e-05,0.8339451181907311,0.9041163873183656,0.9572937336524062,0.32661223536535394,1.0,0.0,1.0,-0.07600528887625438,-0.008518221584970675,0.06214487424510123
