lemma,pool,holdout,reference,drop,metric,delta_percentile
each_other,full,item,fixed_total,none,jaccard,0.9006
each_other,full,item,fixed_total,morph,jaccard,0.04385
each_other,full,item,fixed_total,synt,jaccard,0.86105
each_other,full,item,fixed_total,sem,jaccard,0.99985
each_other,full,item,fixed_total,phon,jaccard,0.85245
each_other,full,item,fixed_total,none,dice,0.83335
each_other,full,item,fixed_total,morph,dice,0.13025
each_other,full,item,fixed_total,synt,dice,0.79285
each_other,full,item,fixed_total,sem,dice,0.9994
each_other,full,item,fixed_total,phon,dice,0.79055
each_other,full,item,fixed_total,none,hamming,0.747525
each_other,full,item,fixed_total,morph,hamming,0.12125
each_other,full,item,fixed_total,synt,hamming,0.5802
each_other,full,item,fixed_total,sem,hamming,0.999
each_other,full,item,fixed_total,phon,hamming,0.72185
each_other,full,item,fixed_total,none,idf_jaccard,0.8928
each_other,full,item,fixed_total,morph,idf_jaccard,0.06395
each_other,full,item,fixed_total,synt,idf_jaccard,0.81165
each_other,full,item,fixed_total,sem,idf_jaccard,0.9982
each_other,full,item,fixed_total,phon,idf_jaccard,0.8687
one_another,full,item,fixed_total,none,jaccard,0.92855
one_another,full,item,fixed_total,morph,jaccard,0.04515
one_another,full,item,fixed_total,synt,jaccard,0.90015
one_another,full,item,fixed_total,sem,jaccard,0.99995
one_another,full,item,fixed_total,phon,jaccard,0.8933
one_another,full,item,fixed_total,none,dice,0.86745
one_another,full,item,fixed_total,morph,dice,0.12745
one_another,full,item,fixed_total,synt,dice,0.83235
one_another,full,item,fixed_total,sem,dice,0.99945
one_another,full,item,fixed_total,phon,dice,0.8304
one_another,full,item,fixed_total,none,hamming,0.80015
one_another,full,item,fixed_total,morph,hamming,0.1188
one_another,full,item,fixed_total,synt,hamming,0.6706
one_another,full,item,fixed_total,sem,hamming,0.9993
one_another,full,item,fixed_total,phon,hamming,0.78045
one_another,full,item,fixed_total,none,idf_jaccard,0.9556
one_another,full,item,fixed_total,morph,idf_jaccard,0.06425
one_another,full,item,fixed_total,synt,idf_jaccard,0.9259
one_another,full,item,fixed_total,sem,idf_jaccard,0.9987
one_another,full,item,fixed_total,phon,idf_jaccard,0.942
