"metric","mean","q05","q50","q95"
NA,NA,NA,NA,NA
"delta_each",0.00311501862765562,-0.0575999095511151,0.001595525140761,0.0658772883303988
"delta_onean",-0.00197052854610637,-0.0657126850776763,-9.6758631726368e-05,0.0589782028809457
"share_pron_each",0.3024,0,0.2,1
"share_pron_onean",0.346,0,0.2,1
"P_each",0.413466532604697,0.326863967136398,0.41480251585635,0.499608824050118
"P_onean",0.422173254235986,0.337376873924921,0.420677661150585,0.513331720961637
NA,NA,NA,NA,NA
"delta_each",-0.0343889868060892,-0.0991219190455267,-0.0351572719809088,0.0313787883056692
"delta_onean",-0.0331060883386427,-0.0935788789447708,-0.0326171250298092,0.0287755027451099
"share_pron_each",0.6128,0,0.6,1
"share_pron_onean",0.6208,0,0.6,1
"P_each",0.474221429019844,0.386719419918119,0.472909246481115,0.5685586602802
"P_onean",0.471850495108657,0.383927098252511,0.471567822636938,0.562973908513511
NA,NA,NA,NA,NA
"delta_each",-0.0693049647591375,-0.132411637732679,-0.0693967988771721,-0.00512557320165683
"delta_onean",-0.066691307266638,-0.131183286185365,-0.066634233691191,-0.00113155478949569
"share_pron_each",0.8544,0.4,1,1
"share_pron_onean",0.828,0.2,1,1
"P_each",0.526878539662921,0.441760932572976,0.523978537724723,0.60918530743879
"P_onean",0.52595168767054,0.425353161054369,0.522979734647709,0.624172961820997
